,datetimes,events
0,2024-03-22 15.41.36.103,START
1,2024-03-22 15.41.41.103,STANDARD
2,2024-03-22 15.41.42.122,STANDARD
3,2024-03-22 15.41.43.647,STANDARD
4,2024-03-22 15.41.45.172,STANDARD
5,2024-03-22 15.41.46.702,STANDARD
6,2024-03-22 15.41.48.221,STANDARD
7,2024-03-22 15.41.49.745,TARGET
8,2024-03-22 15.41.50.223,KEY PRESS
9,2024-03-22 15.41.51.265,TARGET
10,2024-03-22 15.41.51.930,KEY PRESS
11,2024-03-22 15.41.52.790,STANDARD
12,2024-03-22 15.41.54.314,STANDARD
13,2024-03-22 15.41.55.839,TARGET
14,2024-03-22 15.41.56.253,KEY PRESS
15,2024-03-22 15.41.57.358,STANDARD
16,2024-03-22 15.41.58.878,STANDARD
17,2024-03-22 15.42.00.405,TARGET
18,2024-03-22 15.42.00.837,KEY PRESS
19,2024-03-22 15.42.01.928,STANDARD
20,2024-03-22 15.42.03.438,STANDARD
21,2024-03-22 15.42.04.965,STANDARD
22,2024-03-22 15.42.06.482,STANDARD
23,2024-03-22 15.42.08.001,STANDARD
24,2024-03-22 15.42.09.519,STANDARD
25,2024-03-22 15.42.11.044,STANDARD
26,2024-03-22 15.42.12.561,STANDARD
27,2024-03-22 15.42.14.082,TARGET
28,2024-03-22 15.42.14.545,KEY PRESS
29,2024-03-22 15.42.15.606,STANDARD
30,2024-03-22 15.42.17.127,TARGET
31,2024-03-22 15.42.17.557,KEY PRESS
32,2024-03-22 15.42.18.648,STANDARD
33,2024-03-22 15.42.20.161,STANDARD
34,2024-03-22 15.42.21.688,STANDARD
35,2024-03-22 15.42.23.215,STANDARD
36,2024-03-22 15.42.24.741,STANDARD
37,2024-03-22 15.42.26.266,STANDARD
38,2024-03-22 15.42.27.787,STANDARD
39,2024-03-22 15.42.29.315,STANDARD
40,2024-03-22 15.42.30.841,STANDARD
41,2024-03-22 15.42.32.364,STANDARD
42,2024-03-22 15.42.33.878,STANDARD
43,2024-03-22 15.42.35.402,TARGET
44,2024-03-22 15.42.35.900,KEY PRESS
45,2024-03-22 15.42.36.932,STANDARD
46,2024-03-22 15.42.38.460,TARGET
47,2024-03-22 15.42.38.876,KEY PRESS
48,2024-03-22 15.42.39.981,STANDARD
49,2024-03-22 15.42.41.510,STANDARD
50,2024-03-22 15.42.43.036,STANDARD
51,2024-03-22 15.42.44.563,TARGET
52,2024-03-22 15.42.44.996,KEY PRESS
53,2024-03-22 15.42.46.078,STANDARD
54,2024-03-22 15.42.47.593,STANDARD
55,2024-03-22 15.42.49.109,STANDARD
56,2024-03-22 15.42.50.631,TARGET
57,2024-03-22 15.42.51.060,KEY PRESS
58,2024-03-22 15.42.52.158,STANDARD
