,datetimes,events
0,2024-04-05 11.05.36.177,START
1,2024-04-05 11.05.41.177,STANDARD
2,2024-04-05 11.05.42.195,TARGET
3,2024-04-05 11.05.42.579,KEY PRESS
4,2024-04-05 11.05.43.723,STANDARD
5,2024-04-05 11.05.45.224,STANDARD
6,2024-04-05 11.05.46.733,STANDARD
7,2024-04-05 11.05.48.246,STANDARD
8,2024-04-05 11.05.49.762,STANDARD
9,2024-04-05 11.05.51.292,STANDARD
10,2024-04-05 11.05.52.821,STANDARD
11,2024-04-05 11.05.54.347,TARGET
12,2024-04-05 11.05.54.684,KEY PRESS
13,2024-04-05 11.05.55.862,TARGET
14,2024-04-05 11.05.56.293,KEY PRESS
15,2024-04-05 11.05.57.387,STANDARD
16,2024-04-05 11.05.58.915,STANDARD
17,2024-04-05 11.06.00.431,STANDARD
18,2024-04-05 11.06.01.958,STANDARD
19,2024-04-05 11.06.03.473,STANDARD
20,2024-04-05 11.06.05.002,STANDARD
21,2024-04-05 11.06.06.523,STANDARD
22,2024-04-05 11.06.08.044,STANDARD
23,2024-04-05 11.06.09.558,TARGET
24,2024-04-05 11.06.09.922,KEY PRESS
25,2024-04-05 11.06.11.082,STANDARD
26,2024-04-05 11.06.12.607,STANDARD
27,2024-04-05 11.06.14.119,STANDARD
28,2024-04-05 11.06.15.650,TARGET
29,2024-04-05 11.06.15.999,KEY PRESS
30,2024-04-05 11.06.17.171,STANDARD
31,2024-04-05 11.06.18.696,STANDARD
32,2024-04-05 11.06.20.223,STANDARD
33,2024-04-05 11.06.21.736,STANDARD
34,2024-04-05 11.06.23.256,STANDARD
35,2024-04-05 11.06.24.762,TARGET
36,2024-04-05 11.06.25.179,KEY PRESS
37,2024-04-05 11.06.26.275,STANDARD
38,2024-04-05 11.06.27.807,STANDARD
39,2024-04-05 11.06.29.324,STANDARD
40,2024-04-05 11.06.30.842,STANDARD
41,2024-04-05 11.06.32.372,TARGET
42,2024-04-05 11.06.32.771,KEY PRESS
43,2024-04-05 11.06.33.900,STANDARD
44,2024-04-05 11.06.35.428,STANDARD
45,2024-04-05 11.06.36.942,STANDARD
46,2024-04-05 11.06.38.470,TARGET
47,2024-04-05 11.06.38.849,KEY PRESS
48,2024-04-05 11.06.39.998,STANDARD
49,2024-04-05 11.06.41.525,STANDARD
50,2024-04-05 11.06.43.042,STANDARD
51,2024-04-05 11.06.44.560,STANDARD
52,2024-04-05 11.06.46.086,TARGET
53,2024-04-05 11.06.46.501,KEY PRESS
54,2024-04-05 11.06.47.613,TARGET
55,2024-04-05 11.06.48.009,KEY PRESS
56,2024-04-05 11.06.49.127,STANDARD
57,2024-04-05 11.06.50.656,STANDARD
58,2024-04-05 11.06.52.183,STANDARD
59,2024-04-05 11.06.53.700,STANDARD
60,2024-04-05 11.06.55.222,STANDARD
61,2024-04-05 11.06.56.746,TARGET
62,2024-04-05 11.06.57.110,KEY PRESS
63,2024-04-05 11.06.58.274,STANDARD
64,2024-04-05 11.06.59.781,TARGET
65,2024-04-05 11.07.00.246,KEY PRESS
66,2024-04-05 11.07.01.299,STANDARD
67,2024-04-05 11.07.02.812,STANDARD
68,2024-04-05 11.07.04.334,STANDARD
69,2024-04-05 11.07.05.849,STANDARD
70,2024-04-05 11.07.07.369,STANDARD
71,2024-04-05 11.07.08.896,STANDARD
72,2024-04-05 11.07.10.409,STANDARD
73,2024-04-05 11.07.11.931,STANDARD
74,2024-04-05 11.07.13.448,STANDARD
75,2024-04-05 11.07.14.962,TARGET
76,2024-04-05 11.07.15.328,KEY PRESS
77,2024-04-05 11.07.16.473,STANDARD
78,2024-04-05 11.07.18.001,STANDARD
79,2024-04-05 11.07.19.531,STANDARD
80,2024-04-05 11.07.21.059,TARGET
81,2024-04-05 11.07.21.494,KEY PRESS
82,2024-04-05 11.07.22.574,STANDARD
83,2024-04-05 11.07.24.100,STANDARD
84,2024-04-05 11.07.25.625,STANDARD
85,2024-04-05 11.07.27.140,STANDARD
86,2024-04-05 11.07.28.653,STANDARD
87,2024-04-05 11.07.30.167,STANDARD
88,2024-04-05 11.07.31.691,STANDARD
89,2024-04-05 11.07.33.216,STANDARD
90,2024-04-05 11.07.34.742,TARGET
91,2024-04-05 11.07.35.374,KEY PRESS
92,2024-04-05 11.07.36.268,STANDARD
93,2024-04-05 11.07.37.782,TARGET
94,2024-04-05 11.07.38.280,KEY PRESS
95,2024-04-05 11.07.39.306,STANDARD
96,2024-04-05 11.07.40.834,STANDARD
97,2024-04-05 11.07.42.347,TARGET
98,2024-04-05 11.07.42.827,KEY PRESS
99,2024-04-05 11.07.43.871,STANDARD
100,2024-04-05 11.07.45.382,STANDARD
101,2024-04-05 11.07.46.909,STANDARD
102,2024-04-05 11.07.48.422,STANDARD
103,2024-04-05 11.07.49.951,TARGET
104,2024-04-05 11.07.50.315,KEY PRESS
105,2024-04-05 11.07.51.474,STANDARD
106,2024-04-05 11.07.52.991,STANDARD
107,2024-04-05 11.07.54.500,STANDARD
108,2024-04-05 11.07.56.028,STANDARD
109,2024-04-05 11.07.57.556,STANDARD
110,2024-04-05 11.07.59.078,TARGET
111,2024-04-05 11.07.59.507,KEY PRESS
112,2024-04-05 11.08.00.604,STANDARD
113,2024-04-05 11.08.02.106,STANDARD
114,2024-04-05 11.08.03.634,STANDARD
115,2024-04-05 11.08.05.147,STANDARD
116,2024-04-05 11.08.06.661,STANDARD
117,2024-04-05 11.08.08.188,STANDARD
118,2024-04-05 11.08.09.709,TARGET
119,2024-04-05 11.08.10.108,KEY PRESS
120,2024-04-05 11.08.11.210,STANDARD
121,2024-04-05 11.08.12.710,END
