datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-03-22 14.40.42.127,1384.0,-20.52339172363281,316.96307373046875,-31.044116973876957,
2024-03-22 14.40.42.131,1385.0,-73.79064178466797,212.4605712890625,-30.90301513671875,
2024-03-22 14.40.42.135,1386.0,-119.30953216552734,143.6317138671875,-49.642234802246094,
2024-03-22 14.40.42.142,1387.0,-133.7100372314453,94.8843994140625,-70.90594482421875,
2024-03-22 14.40.42.147,1388.0,-103.61953735351562,56.72563934326172,-69.30316162109375,
2024-03-22 14.40.42.152,1389.0,-27.969356536865234,3.864059448242188,-25.38622665405273,
2024-03-22 14.40.42.156,1390.0,83.55469512939453,-63.96759796142578,68.55027770996094,
2024-03-22 14.40.42.160,1391.0,214.63006591796875,-135.0103759765625,205.84405517578125,
2024-03-22 14.40.42.165,1392.0,346.00927734375,-199.3243560791016,364.8876953125,
2024-03-22 14.40.42.170,1393.0,458.510009765625,-244.82730102539065,515.2166137695312,
2024-03-22 14.40.42.175,1394.0,535.1156616210938,-274.1955261230469,629.7470703125,
2024-03-22 14.40.42.180,1395.0,562.8455810546875,-298.8794250488281,690.0514526367188,
2024-03-22 14.40.42.184,1396.0,534.6558837890625,-338.36065673828125,693.34033203125,
2024-03-22 14.40.42.189,1397.0,451.20843505859375,-408.3019409179688,651.9697265625,
2024-03-22 14.40.42.194,1398.0,322.0843505859375,-507.9814453125,588.0370483398438,
2024-03-22 14.40.42.199,1399.0,165.65660095214844,-620.982421875,521.3114013671875,
2024-03-22 14.40.42.205,1400.0,6.483158111572266,-723.1423950195312,468.5267333984375,
2024-03-22 14.40.42.208,1401.0,-128.85360717773438,-788.2415771484375,434.4142761230469,
2024-03-22 14.40.42.214,1402.0,-217.65077209472656,-802.9556274414062,414.3780212402344,
2024-03-22 14.40.42.218,1403.0,-246.69566345214844,-760.3076171875,397.0446472167969,
2024-03-22 14.40.42.223,1404.0,-215.9891357421875,-673.652099609375,372.0913696289063,
2024-03-22 14.40.42.228,1405.0,-138.4726104736328,-563.7721557617188,337.92852783203125,
2024-03-22 14.40.42.232,1406.0,-36.17713928222656,-445.3322143554688,293.5186462402344,
2024-03-22 14.40.42.238,1407.0,66.06892395019531,-329.99609375,244.21627807617188,
2024-03-22 14.40.42.243,1408.0,146.20071411132812,-215.0984039306641,203.013671875,
2024-03-22 14.40.42.249,1409.0,189.5255279541016,-92.0966339111328,181.38772583007807,
2024-03-22 14.40.42.252,1410.0,190.17462158203125,45.57350158691406,183.2955017089844,
2024-03-22 14.40.42.257,1411.0,151.0305633544922,195.0328826904297,213.31378173828125,
2024-03-22 14.40.42.262,1412.0,81.71735382080078,348.219970703125,265.37908935546875,
2024-03-22 14.40.42.267,1413.0,-3.526813507080078,491.3743286132813,325.11492919921875,
2024-03-22 14.40.42.273,1414.0,-88.03439331054688,608.10302734375,375.8199462890625,
2024-03-22 14.40.42.277,1415.0,-154.16143798828125,686.7786254882812,394.38916015625,
2024-03-22 14.40.42.284,1416.0,-185.56016540527344,729.3374633789062,365.4219665527344,
2024-03-22 14.40.42.287,1417.0,-170.69467163085938,737.4602661132812,283.3944091796875,
2024-03-22 14.40.42.292,1418.0,-107.19961547851562,732.124267578125,157.4556427001953,
2024-03-22 14.40.42.297,1419.0,-4.839221954345703,726.6613159179688,1.1752777099609375,
2024-03-22 14.40.42.301,1420.0,114.936767578125,728.3291015625,-158.3645782470703,
2024-03-22 14.40.42.304,1421.0,224.02984619140625,739.6798095703125,-295.2674560546875,
2024-03-22 14.40.42.312,1422.0,295.24658203125,759.3799438476562,-395.9173583984375,
2024-03-22 14.40.42.317,1423.0,311.11968994140625,784.710205078125,-456.1297912597656,
2024-03-22 14.40.42.321,1424.0,269.6215209960937,812.436767578125,-487.62933349609375,
2024-03-22 14.40.42.326,1425.0,185.7923583984375,846.4004516601562,-507.1005554199219,
2024-03-22 14.40.42.330,1426.0,87.15721893310547,889.8427734375,-529.7673950195312,
2024-03-22 14.40.42.336,1427.0,3.935646057128906,947.7820434570312,-557.8327026367188,
2024-03-22 14.40.42.341,1428.0,-41.88441848754883,1019.6878051757812,-582.8037109375,
2024-03-22 14.40.42.345,1429.0,-43.97751235961914,1098.12060546875,-588.06103515625,
2024-03-22 14.40.42.350,1430.0,-13.474807739257812,1170.1641845703125,-557.5023803710938,
2024-03-22 14.40.42.353,1431.0,26.299976348876957,1221.4281005859375,-488.1531982421875,
2024-03-22 14.40.42.359,1432.0,49.10260009765625,1239.5501708984375,-393.29486083984375,
2024-03-22 14.40.42.365,1433.0,36.74893951416016,1215.5589599609375,-304.7417297363281,
2024-03-22 14.40.42.370,1434.0,-14.458938598632812,1146.5068359375,-256.46295166015625,
2024-03-22 14.40.42.374,1435.0,-92.28727722167967,1041.3006591796875,-271.660400390625,
2024-03-22 14.40.42.377,1436.0,-174.37208557128906,908.0990600585938,-357.9869689941406,
2024-03-22 14.40.42.383,1437.0,-237.19065856933597,769.5367431640625,-490.1940612792969,
2024-03-22 14.40.42.388,1438.0,-264.20574951171875,643.2006225585938,-627.7337646484375,
2024-03-22 14.40.42.394,1439.0,-250.96145629882807,545.6680908203125,-726.34130859375,
2024-03-22 14.40.42.399,1440.0,-205.13067626953125,501.4667053222656,-754.9734497070312,
