,datetimes,events
0,2024-03-25 13.14.43.983,START
1,2024-03-25 13.14.48.983,STANDARD
2,2024-03-25 13.14.50.003,STANDARD
3,2024-03-25 13.14.51.531,STANDARD
4,2024-03-25 13.14.53.044,STANDARD
5,2024-03-25 13.14.54.569,STANDARD
6,2024-03-25 13.14.56.085,TARGET
7,2024-03-25 13.14.56.420,KEY PRESS
8,2024-03-25 13.14.57.595,STANDARD
9,2024-03-25 13.14.59.124,STANDARD
10,2024-03-25 13.15.00.640,TARGET
11,2024-03-25 13.15.01.107,KEY PRESS
12,2024-03-25 13.15.02.156,STANDARD
13,2024-03-25 13.15.03.682,STANDARD
14,2024-03-25 13.15.05.196,STANDARD
15,2024-03-25 13.15.06.723,STANDARD
16,2024-03-25 13.15.08.249,STANDARD
17,2024-03-25 13.15.09.772,STANDARD
18,2024-03-25 13.15.11.284,STANDARD
19,2024-03-25 13.15.12.798,TARGET
20,2024-03-25 13.15.13.177,KEY PRESS
21,2024-03-25 13.15.14.325,STANDARD
22,2024-03-25 13.15.15.841,STANDARD
23,2024-03-25 13.15.17.372,TARGET
24,2024-03-25 13.15.17.723,KEY PRESS
25,2024-03-25 13.15.18.886,STANDARD
26,2024-03-25 13.15.20.411,STANDARD
27,2024-03-25 13.15.21.929,STANDARD
28,2024-03-25 13.15.23.453,STANDARD
29,2024-03-25 13.15.24.976,TARGET
30,2024-03-25 13.15.25.358,KEY PRESS
31,2024-03-25 13.15.26.501,STANDARD
32,2024-03-25 13.15.28.015,STANDARD
33,2024-03-25 13.15.29.545,STANDARD
34,2024-03-25 13.15.31.063,TARGET
35,2024-03-25 13.15.31.431,KEY PRESS
36,2024-03-25 13.15.32.577,STANDARD
37,2024-03-25 13.15.34.095,TARGET
38,2024-03-25 13.15.34.476,KEY PRESS
39,2024-03-25 13.15.35.610,STANDARD
40,2024-03-25 13.15.37.137,TARGET
41,2024-03-25 13.15.37.621,KEY PRESS
42,2024-03-25 13.15.38.640,STANDARD
43,2024-03-25 13.15.40.166,STANDARD
44,2024-03-25 13.15.41.677,STANDARD
45,2024-03-25 13.15.43.202,STANDARD
46,2024-03-25 13.15.44.716,STANDARD
47,2024-03-25 13.15.46.248,STANDARD
48,2024-03-25 13.15.47.765,STANDARD
49,2024-03-25 13.15.49.290,STANDARD
50,2024-03-25 13.15.50.817,STANDARD
51,2024-03-25 13.15.52.345,STANDARD
52,2024-03-25 13.15.53.860,STANDARD
53,2024-03-25 13.15.55.377,STANDARD
54,2024-03-25 13.15.56.900,TARGET
55,2024-03-25 13.15.57.249,KEY PRESS
56,2024-03-25 13.15.58.425,STANDARD
57,2024-03-25 13.15.59.938,TARGET
58,2024-03-25 13.16.00.303,KEY PRESS
59,2024-03-25 13.16.01.451,STANDARD
60,2024-03-25 13.16.02.972,STANDARD
61,2024-03-25 13.16.04.484,TARGET
62,2024-03-25 13.16.04.832,KEY PRESS
63,2024-03-25 13.16.06.008,STANDARD
64,2024-03-25 13.16.07.521,STANDARD
65,2024-03-25 13.16.09.045,STANDARD
66,2024-03-25 13.16.10.568,STANDARD
67,2024-03-25 13.16.12.098,STANDARD
68,2024-03-25 13.16.13.623,STANDARD
69,2024-03-25 13.16.15.152,TARGET
70,2024-03-25 13.16.15.520,KEY PRESS
71,2024-03-25 13.16.16.669,STANDARD
72,2024-03-25 13.16.18.196,STANDARD
73,2024-03-25 13.16.19.723,STANDARD
74,2024-03-25 13.16.21.236,STANDARD
75,2024-03-25 13.16.22.749,STANDARD
76,2024-03-25 13.16.24.276,STANDARD
77,2024-03-25 13.16.25.806,STANDARD
78,2024-03-25 13.16.27.333,TARGET
79,2024-03-25 13.16.27.696,KEY PRESS
80,2024-03-25 13.16.28.857,TARGET
81,2024-03-25 13.16.29.255,KEY PRESS
82,2024-03-25 13.16.30.370,STANDARD
83,2024-03-25 13.16.31.896,STANDARD
84,2024-03-25 13.16.33.411,STANDARD
85,2024-03-25 13.16.34.926,STANDARD
86,2024-03-25 13.16.36.440,TARGET
87,2024-03-25 13.16.36.811,KEY PRESS
88,2024-03-25 13.16.37.957,STANDARD
89,2024-03-25 13.16.39.475,STANDARD
90,2024-03-25 13.16.41.002,STANDARD
91,2024-03-25 13.16.42.526,STANDARD
92,2024-03-25 13.16.44.029,STANDARD
93,2024-03-25 13.16.45.547,STANDARD
94,2024-03-25 13.16.47.072,TARGET
95,2024-03-25 13.16.47.404,KEY PRESS
96,2024-03-25 13.16.48.601,STANDARD
97,2024-03-25 13.16.50.123,TARGET
98,2024-03-25 13.16.50.488,KEY PRESS
99,2024-03-25 13.16.51.650,STANDARD
100,2024-03-25 13.16.53.161,STANDARD
101,2024-03-25 13.16.54.677,STANDARD
102,2024-03-25 13.16.56.205,STANDARD
103,2024-03-25 13.16.57.730,TARGET
104,2024-03-25 13.16.58.108,KEY PRESS
105,2024-03-25 13.16.59.245,STANDARD
106,2024-03-25 13.17.00.771,STANDARD
107,2024-03-25 13.17.02.286,STANDARD
108,2024-03-25 13.17.03.816,STANDARD
109,2024-03-25 13.17.05.341,STANDARD
110,2024-03-25 13.17.06.862,STANDARD
111,2024-03-25 13.17.08.385,TARGET
112,2024-03-25 13.17.08.717,KEY PRESS
113,2024-03-25 13.17.09.914,STANDARD
114,2024-03-25 13.17.11.442,STANDARD
115,2024-03-25 13.17.12.969,STANDARD
116,2024-03-25 13.17.14.484,STANDARD
117,2024-03-25 13.17.16.014,STANDARD
