,datetimes,events
0,2024-03-29 10.35.25.428,START
1,2024-03-29 10.35.30.428,TARGET
2,2024-03-29 10.35.31.442,TARGET
3,2024-03-29 10.35.31.941,KEY PRESS
4,2024-03-29 10.35.32.969,STANDARD
5,2024-03-29 10.35.34.485,STANDARD
6,2024-03-29 10.35.36.000,STANDARD
7,2024-03-29 10.35.37.526,STANDARD
8,2024-03-29 10.35.39.052,STANDARD
9,2024-03-29 10.35.40.576,STANDARD
10,2024-03-29 10.35.42.106,STANDARD
11,2024-03-29 10.35.43.629,STANDARD
12,2024-03-29 10.35.45.156,STANDARD
13,2024-03-29 10.35.46.680,STANDARD
14,2024-03-29 10.35.48.210,STANDARD
15,2024-03-29 10.35.49.725,TARGET
16,2024-03-29 10.35.50.141,KEY PRESS
17,2024-03-29 10.35.51.244,STANDARD
18,2024-03-29 10.35.52.746,STANDARD
19,2024-03-29 10.35.54.258,STANDARD
20,2024-03-29 10.35.55.766,STANDARD
21,2024-03-29 10.35.57.290,STANDARD
22,2024-03-29 10.35.58.813,TARGET
23,2024-03-29 10.35.59.195,KEY PRESS
24,2024-03-29 10.36.00.336,STANDARD
25,2024-03-29 10.36.01.859,STANDARD
26,2024-03-29 10.36.03.389,STANDARD
27,2024-03-29 10.36.04.890,STANDARD
28,2024-03-29 10.36.06.404,TARGET
29,2024-03-29 10.36.06.852,KEY PRESS
30,2024-03-29 10.36.07.933,STANDARD
31,2024-03-29 10.36.09.457,STANDARD
32,2024-03-29 10.36.10.984,STANDARD
33,2024-03-29 10.36.12.498,TARGET
34,2024-03-29 10.36.12.847,KEY PRESS
35,2024-03-29 10.36.14.025,STANDARD
36,2024-03-29 10.36.15.538,STANDARD
37,2024-03-29 10.36.17.069,STANDARD
38,2024-03-29 10.36.18.583,STANDARD
39,2024-03-29 10.36.20.113,STANDARD
40,2024-03-29 10.36.21.642,STANDARD
41,2024-03-29 10.36.23.165,TARGET
42,2024-03-29 10.36.23.544,KEY PRESS
43,2024-03-29 10.36.24.688,TARGET
44,2024-03-29 10.36.25.135,KEY PRESS
45,2024-03-29 10.36.26.219,STANDARD
46,2024-03-29 10.36.27.721,STANDARD
47,2024-03-29 10.36.29.245,STANDARD
48,2024-03-29 10.36.30.753,STANDARD
49,2024-03-29 10.36.32.281,STANDARD
50,2024-03-29 10.36.33.807,STANDARD
51,2024-03-29 10.36.35.309,STANDARD
52,2024-03-29 10.36.36.823,STANDARD
53,2024-03-29 10.36.38.347,TARGET
54,2024-03-29 10.36.38.765,KEY PRESS
55,2024-03-29 10.36.39.860,TARGET
56,2024-03-29 10.36.40.226,KEY PRESS
57,2024-03-29 10.36.41.384,STANDARD
58,2024-03-29 10.36.42.899,STANDARD
59,2024-03-29 10.36.44.408,STANDARD
60,2024-03-29 10.36.45.928,STANDARD
61,2024-03-29 10.36.47.455,STANDARD
62,2024-03-29 10.36.48.985,STANDARD
63,2024-03-29 10.36.50.509,STANDARD
64,2024-03-29 10.36.52.030,STANDARD
65,2024-03-29 10.36.53.555,STANDARD
66,2024-03-29 10.36.55.084,TARGET
67,2024-03-29 10.36.55.468,KEY PRESS
68,2024-03-29 10.36.56.613,TARGET
69,2024-03-29 10.36.57.043,KEY PRESS
70,2024-03-29 10.36.58.136,STANDARD
71,2024-03-29 10.36.59.660,STANDARD
72,2024-03-29 10.37.01.188,STANDARD
73,2024-03-29 10.37.02.700,STANDARD
74,2024-03-29 10.37.04.224,STANDARD
75,2024-03-29 10.37.05.755,STANDARD
76,2024-03-29 10.37.07.280,STANDARD
