,datetimes,events
0,2024-02-23 12.10.49.295,START
1,2024-02-23 12.10.54.295,TARGET
2,2024-02-23 12.10.55.304,STANDARD
3,2024-02-23 12.10.56.824,STANDARD
4,2024-02-23 12.10.58.348,STANDARD
5,2024-02-23 12.10.59.879,STANDARD
6,2024-02-23 12.11.01.395,STANDARD
7,2024-02-23 12.11.02.912,STANDARD
8,2024-02-23 12.11.04.435,TARGET
9,2024-02-23 12.11.04.850,KEY PRESS
10,2024-02-23 12.11.05.950,STANDARD
11,2024-02-23 12.11.07.470,STANDARD
12,2024-02-23 12.11.08.986,STANDARD
13,2024-02-23 12.11.10.503,TARGET
14,2024-02-23 12.11.10.914,KEY PRESS
15,2024-02-23 12.11.12.023,STANDARD
16,2024-02-23 12.11.13.547,STANDARD
17,2024-02-23 12.11.15.064,STANDARD
18,2024-02-23 12.11.16.583,STANDARD
19,2024-02-23 12.11.18.103,TARGET
20,2024-02-23 12.11.18.630,KEY PRESS
21,2024-02-23 12.11.19.621,STANDARD
22,2024-02-23 12.11.21.144,STANDARD
23,2024-02-23 12.11.22.655,STANDARD
24,2024-02-23 12.11.24.175,TARGET
25,2024-02-23 12.11.24.674,KEY PRESS
26,2024-02-23 12.11.25.694,STANDARD
27,2024-02-23 12.11.27.213,STANDARD
28,2024-02-23 12.11.28.733,STANDARD
29,2024-02-23 12.11.30.249,STANDARD
30,2024-02-23 12.11.31.770,TARGET
31,2024-02-23 12.11.32.214,KEY PRESS
32,2024-02-23 12.11.33.292,STANDARD
33,2024-02-23 12.11.34.817,STANDARD
34,2024-02-23 12.11.36.332,STANDARD
35,2024-02-23 12.11.37.856,STANDARD
36,2024-02-23 12.11.39.362,STANDARD
37,2024-02-23 12.11.40.879,STANDARD
38,2024-02-23 12.11.42.396,STANDARD
39,2024-02-23 12.11.43.917,TARGET
40,2024-02-23 12.11.44.447,KEY PRESS
41,2024-02-23 12.11.45.441,STANDARD
42,2024-02-23 12.11.46.963,STANDARD
43,2024-02-23 12.11.48.470,TARGET
44,2024-02-23 12.11.49.049,KEY PRESS
45,2024-02-23 12.11.49.988,STANDARD
46,2024-02-23 12.11.51.513,STANDARD
47,2024-02-23 12.11.53.029,STANDARD
48,2024-02-23 12.11.54.554,STANDARD
49,2024-02-23 12.11.56.070,STANDARD
50,2024-02-23 12.11.57.591,TARGET
51,2024-02-23 12.11.58.175,KEY PRESS
52,2024-02-23 12.11.59.093,STANDARD
53,2024-02-23 12.12.00.611,STANDARD
54,2024-02-23 12.12.02.135,TARGET
55,2024-02-23 12.12.02.651,KEY PRESS
56,2024-02-23 12.12.03.663,STANDARD
57,2024-02-23 12.12.05.186,STANDARD
58,2024-02-23 12.12.06.709,STANDARD
59,2024-02-23 12.12.08.240,STANDARD
60,2024-02-23 12.12.09.754,STANDARD
61,2024-02-23 12.12.11.278,TARGET
62,2024-02-23 12.12.11.862,KEY PRESS
63,2024-02-23 12.12.12.790,STANDARD
64,2024-02-23 12.12.14.306,TARGET
65,2024-02-23 12.12.14.790,KEY PRESS
66,2024-02-23 12.12.15.822,STANDARD
67,2024-02-23 12.12.17.348,STANDARD
68,2024-02-23 12.12.18.881,STANDARD
69,2024-02-23 12.12.20.395,STANDARD
70,2024-02-23 12.12.21.907,STANDARD
71,2024-02-23 12.12.23.436,STANDARD
72,2024-02-23 12.12.24.949,STANDARD
73,2024-02-23 12.12.26.460,STANDARD
74,2024-02-23 12.12.27.972,STANDARD
75,2024-02-23 12.12.29.502,STANDARD
76,2024-02-23 12.12.31.028,TARGET
77,2024-02-23 12.12.31.494,KEY PRESS
78,2024-02-23 12.12.32.554,STANDARD
79,2024-02-23 12.12.34.080,STANDARD
80,2024-02-23 12.12.35.594,STANDARD
81,2024-02-23 12.12.37.118,STANDARD
82,2024-02-23 12.12.38.638,TARGET
83,2024-02-23 12.12.39.120,KEY PRESS
84,2024-02-23 12.12.40.165,STANDARD
85,2024-02-23 12.12.41.678,TARGET
86,2024-02-23 12.12.42.277,KEY PRESS
87,2024-02-23 12.12.43.207,TARGET
88,2024-02-23 12.12.43.888,KEY PRESS
89,2024-02-23 12.12.44.720,STANDARD
90,2024-02-23 12.12.46.236,STANDARD
91,2024-02-23 12.12.47.766,STANDARD
92,2024-02-23 12.12.49.281,STANDARD
93,2024-02-23 12.12.50.808,STANDARD
94,2024-02-23 12.12.52.322,STANDARD
95,2024-02-23 12.12.53.848,STANDARD
96,2024-02-23 12.12.55.356,TARGET
97,2024-02-23 12.12.55.919,KEY PRESS
98,2024-02-23 12.12.56.879,STANDARD
99,2024-02-23 12.12.58.402,STANDARD
100,2024-02-23 12.12.59.922,STANDARD
101,2024-02-23 12.13.01.438,STANDARD
102,2024-02-23 12.13.02.953,STANDARD
103,2024-02-23 12.13.04.480,STANDARD
104,2024-02-23 12.13.05.994,STANDARD
105,2024-02-23 12.13.07.521,STANDARD
106,2024-02-23 12.13.09.032,TARGET
107,2024-02-23 12.13.09.532,KEY PRESS
108,2024-02-23 12.13.10.563,STANDARD
109,2024-02-23 12.13.12.078,STANDARD
110,2024-02-23 12.13.13.604,TARGET
111,2024-02-23 12.13.14.087,KEY PRESS
112,2024-02-23 12.13.15.133,STANDARD
113,2024-02-23 12.13.16.645,STANDARD
114,2024-02-23 12.13.18.160,STANDARD
115,2024-02-23 12.13.19.682,STANDARD
116,2024-02-23 12.13.21.193,STANDARD
117,2024-02-23 12.13.22.720,STANDARD
118,2024-02-23 12.13.24.233,TARGET
119,2024-02-23 12.13.24.702,KEY PRESS
120,2024-02-23 12.13.25.745,END
