datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-03-29 14.22.13.431,1522.0,-32.19078826904297,18.94831085205078,-234.32110595703125,
2024-03-29 14.22.13.437,1523.0,-128.66690063476562,38.73999786376953,-310.5147399902344,
2024-03-29 14.22.13.442,1524.0,-207.74566650390625,55.42939758300781,-305.4626770019531,
2024-03-29 14.22.13.445,1525.0,-251.23684692382807,77.3590087890625,-226.345703125,
2024-03-29 14.22.13.452,1526.0,-253.21792602539065,108.915771484375,-103.35086059570312,
2024-03-29 14.22.13.456,1527.0,-221.08810424804688,142.52822875976562,23.89719009399414,
2024-03-29 14.22.13.461,1528.0,-171.7023468017578,161.73219299316406,122.30816650390624,
2024-03-29 14.22.13.466,1529.0,-124.54212951660156,151.14170837402344,174.97344970703125,
2024-03-29 14.22.13.470,1530.0,-93.9652328491211,103.6605987548828,185.0049285888672,
2024-03-29 14.22.13.476,1531.0,-84.71185302734375,27.798847198486328,168.0294647216797,
2024-03-29 14.22.13.481,1532.0,-92.36582946777344,-53.31977844238281,144.27267456054688,
2024-03-29 14.22.13.516,1533.0,-106.08696746826172,-112.57444763183594,126.1917724609375,
2024-03-29 14.22.13.516,1534.0,-114.93659210205078,-130.8249969482422,115.33050537109376,
2024-03-29 14.22.13.516,1535.0,-112.19611358642578,-104.19644165039062,106.56546020507812,
2024-03-29 14.22.13.517,1536.0,-96.6355438232422,-47.2935676574707,89.25527954101562,
2024-03-29 14.22.13.517,1537.0,-71.70916748046875,11.826107025146484,58.12746810913086,
2024-03-29 14.22.13.517,1538.0,-43.07265853881836,44.03306579589844,17.01467514038086,
2024-03-29 14.22.13.517,1539.0,-16.077213287353516,34.36709976196289,-25.186542510986328,
2024-03-29 14.22.13.524,1540.0,4.997898101806641,-17.613391876220703,-57.173458099365234,
2024-03-29 14.22.13.524,1541.0,16.992931365966797,-92.7954559326172,-71.87060546875,
2024-03-29 14.22.13.528,1542.0,17.131813049316406,-165.83261108398438,-70.469482421875,
2024-03-29 14.22.13.533,1543.0,2.928794860839844,-217.3601531982422,-58.73424911499024,
2024-03-29 14.22.13.539,1544.0,-27.222118377685547,-240.7655029296875,-47.4310302734375,
2024-03-29 14.22.13.543,1545.0,-72.04876708984375,-244.7550811767578,-42.11331558227539,
2024-03-29 14.22.13.549,1546.0,-126.53695678710938,-249.7621307373047,-42.92324447631836,
2024-03-29 14.22.13.555,1547.0,-182.78436279296875,-274.8540954589844,-44.883445739746094,
2024-03-29 14.22.13.558,1548.0,-232.35581970214844,-327.8922119140625,-43.766998291015625,
2024-03-29 14.22.13.564,1549.0,-269.6781921386719,-404.2860412597656,-40.50133895874024,
2024-03-29 14.22.13.567,1550.0,-295.068359375,-487.5569763183594,-44.11983489990234,
2024-03-29 14.22.13.573,1551.0,-315.0380249023437,-558.4646606445312,-68.89128112792969,
2024-03-29 14.22.13.577,1552.0,-340.0137634277344,-605.2756958007812,-128.88021850585938,
2024-03-29 14.22.13.583,1553.0,-379.27838134765625,-627.7095947265625,-227.48899841308597,
2024-03-29 14.22.13.587,1554.0,-436.1565246582031,-637.9225463867188,-350.222900390625,
2024-03-29 14.22.13.590,1555.0,-504.1868591308594,-650.9344482421875,-472.7183837890625,
2024-03-29 14.22.13.597,1556.0,-568.5869750976562,-676.2339477539062,-561.30224609375,
2024-03-29 14.22.13.602,1557.0,-611.158447265625,-712.1602172851562,-586.0150146484375,
2024-03-29 14.22.13.607,1558.0,-618.1111450195312,-742.7828979492188,-536.6764526367188,
2024-03-29 14.22.13.612,1559.0,-586.1853637695312,-751.2353515625,-422.7893371582031,
2024-03-29 14.22.13.615,1560.0,-524.503662109375,-723.1644897460938,-272.605712890625,
2024-03-29 14.22.13.621,1561.0,-452.0022277832031,-657.076171875,-127.64369201660156,
2024-03-29 14.22.13.625,1562.0,-389.9488830566406,-568.4688110351562,-23.973949432373047,
2024-03-29 14.22.13.631,1563.0,-353.6438293457031,-483.3857421875,13.380508422851562,
2024-03-29 14.22.13.636,1564.0,-346.87774658203125,-429.8509521484375,-16.10525894165039,
2024-03-29 14.22.13.640,1565.0,-360.7317810058594,-425.4748229980469,-93.1903839111328,
2024-03-29 14.22.13.646,1566.0,-377.8404846191406,-472.5089721679688,-185.5891876220703,
2024-03-29 14.22.13.650,1567.0,-380.1712951660156,-555.1464233398438,-259.8557434082031,
2024-03-29 14.22.13.655,1568.0,-357.4056396484375,-645.4508666992188,-291.6935119628906,
2024-03-29 14.22.13.660,1569.0,-311.6250305175781,-715.4783935546875,-272.8080749511719,
2024-03-29 14.22.13.663,1570.0,-256.6620483398437,-746.1685180664062,-213.50927734375,
2024-03-29 14.22.13.669,1571.0,-211.9073944091797,-730.7967529296875,-131.65921020507812,
2024-03-29 14.22.13.675,1572.0,-193.6565704345703,-677.2468872070312,-54.8922233581543,
2024-03-29 14.22.13.679,1573.0,-208.00070190429688,-600.7684326171875,-4.574413299560547,
2024-03-29 14.22.13.684,1574.0,-248.41818237304688,-518.3021240234375,7.819484710693359,
2024-03-29 14.22.13.688,1575.0,-298.0238952636719,-443.3943786621094,-17.929569244384766,
2024-03-29 14.22.13.694,1576.0,-336.44598388671875,-383.09515380859375,-64.8253173828125,
