,datetimes,events
0,2024-02-27 15.03.56.491,START
1,2024-02-27 15.04.01.492,STANDARD
2,2024-02-27 15.04.02.509,STANDARD
3,2024-02-27 15.04.04.011,STANDARD
4,2024-02-27 15.04.05.542,STANDARD
5,2024-02-27 15.04.07.057,STANDARD
6,2024-02-27 15.04.08.582,STANDARD
7,2024-02-27 15.04.10.096,STANDARD
8,2024-02-27 15.04.11.610,TARGET
9,2024-02-27 15.04.12.043,KEY PRESS
10,2024-02-27 15.04.13.124,TARGET
11,2024-02-27 15.04.13.573,KEY PRESS
12,2024-02-27 15.04.14.650,STANDARD
13,2024-02-27 15.04.16.172,TARGET
14,2024-02-27 15.04.16.585,KEY PRESS
15,2024-02-27 15.04.17.696,STANDARD
16,2024-02-27 15.04.19.225,STANDARD
17,2024-02-27 15.04.20.749,STANDARD
18,2024-02-27 15.04.22.266,STANDARD
19,2024-02-27 15.04.23.786,STANDARD
20,2024-02-27 15.04.25.311,STANDARD
21,2024-02-27 15.04.26.835,TARGET
22,2024-02-27 15.04.27.250,KEY PRESS
23,2024-02-27 15.04.28.363,STANDARD
24,2024-02-27 15.04.29.891,STANDARD
25,2024-02-27 15.04.31.405,STANDARD
26,2024-02-27 15.04.32.917,TARGET
27,2024-02-27 15.04.33.330,KEY PRESS
28,2024-02-27 15.04.34.433,STANDARD
29,2024-02-27 15.04.35.958,STANDARD
30,2024-02-27 15.04.37.475,TARGET
31,2024-02-27 15.04.37.907,KEY PRESS
32,2024-02-27 15.04.39.002,STANDARD
33,2024-02-27 15.04.40.528,STANDARD
34,2024-02-27 15.04.42.040,STANDARD
35,2024-02-27 15.04.43.541,STANDARD
36,2024-02-27 15.04.45.068,STANDARD
37,2024-02-27 15.04.46.597,STANDARD
38,2024-02-27 15.04.48.109,TARGET
39,2024-02-27 15.04.48.508,KEY PRESS
40,2024-02-27 15.04.49.626,STANDARD
41,2024-02-27 15.04.51.145,STANDARD
42,2024-02-27 15.04.52.673,TARGET
43,2024-02-27 15.04.53.142,KEY PRESS
44,2024-02-27 15.04.54.188,STANDARD
45,2024-02-27 15.04.55.716,STANDARD
46,2024-02-27 15.04.57.235,STANDARD
47,2024-02-27 15.04.58.757,STANDARD
48,2024-02-27 15.05.00.272,STANDARD
49,2024-02-27 15.05.01.794,STANDARD
50,2024-02-27 15.05.03.322,TARGET
51,2024-02-27 15.05.03.820,KEY PRESS
52,2024-02-27 15.05.04.852,STANDARD
