datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-02-23 10.09.11.768,,,,,START
2024-02-23 10.09.11.769,5877.0,-20.597862243652344,141.40431213378906,23.246257781982425,
2024-02-23 10.09.11.775,5878.0,-78.21945190429688,88.59834289550781,49.58602523803711,
2024-02-23 10.09.11.777,5879.0,-129.90484619140625,-10.434326171875,51.803218841552734,
2024-02-23 10.09.11.783,5880.0,-162.71807861328125,-124.19276428222656,29.31733703613281,
2024-02-23 10.09.11.788,5881.0,-169.4930419921875,-219.3668365478516,-5.444499969482422,
2024-02-23 10.09.11.793,5882.0,-151.30091857910156,-268.9841613769531,-33.0667610168457,
2024-02-23 10.09.11.797,5883.0,-116.8346710205078,-264.4470520019531,-34.93376159667969,
2024-02-23 10.09.11.800,5884.0,-78.3756103515625,-218.21267700195312,-3.808582305908203,
2024-02-23 10.09.11.808,5885.0,-47.247291564941406,-154.04837036132812,50.621337890625,
2024-02-23 10.09.11.812,5886.0,-29.038707733154297,-95.37702941894533,109.49533081054688,
2024-02-23 10.09.11.817,5887.0,-21.61064910888672,-59.66691970825195,146.4197998046875,
2024-02-23 10.09.11.821,5888.0,-16.437084197998047,-49.204322814941406,143.3010711669922,
2024-02-23 10.09.11.826,5889.0,-3.423797607421875,-50.22566986083984,96.936279296875,
2024-02-23 10.09.11.832,5890.0,23.401752471923828,-46.3682861328125,20.376708984375,
2024-02-23 10.09.11.836,5891.0,62.242069244384766,-26.93640899658203,-61.22172546386719,
2024-02-23 10.09.11.841,5892.0,103.58628845214844,11.945388793945312,-121.59420776367188,
2024-02-23 10.09.11.846,5893.0,134.2666015625,60.35696029663086,-143.6441650390625,
2024-02-23 10.09.11.849,5894.0,144.03170776367188,101.46640014648438,-128.1666717529297,
2024-02-23 10.09.11.856,5895.0,130.0104217529297,124.42474365234376,-90.30165100097656,
2024-02-23 10.09.11.860,5896.0,98.74315643310548,124.17030334472656,-53.29721450805664,
2024-02-23 10.09.11.865,5897.0,63.67729949951172,109.48526000976562,-38.206844329833984,
2024-02-23 10.09.11.871,5898.0,39.21197509765625,95.59925842285156,-52.56071090698242,
2024-02-23 10.09.11.874,5899.0,33.88777542114258,96.94046020507812,-88.88336181640625,
2024-02-23 10.09.11.880,5900.0,46.574737548828125,119.4592742919922,-127.86959838867188,
2024-02-23 10.09.11.885,5901.0,66.57014465332031,156.67857360839844,-148.14271545410156,
2024-02-23 10.09.11.890,5902.0,78.86039733886719,190.33865356445312,-137.68858337402344,
2024-02-23 10.09.11.895,5903.0,70.77095031738281,201.66287231445312,-101.31886291503906,
2024-02-23 10.09.11.898,5904.0,37.62459945678711,178.00201416015625,-55.45027923583984,
2024-02-23 10.09.11.905,5905.0,-15.690277099609377,118.70606994628906,-23.816829681396484,
2024-02-23 10.09.11.909,5906.0,-76.37057495117188,40.42179489135742,-22.897605895996094,
2024-02-23 10.09.11.913,5907.0,-128.85833740234375,-32.557613372802734,-52.14361190795898,
2024-02-23 10.09.11.919,5908.0,-160.15646362304688,-77.51066589355469,-92.67593383789062,
2024-02-23 10.09.11.922,5909.0,-164.76708984375,-81.35798645019531,-114.95602416992188,
2024-02-23 10.09.11.929,5910.0,-145.3397216796875,-43.8472900390625,-90.88218688964844,
2024-02-23 10.09.11.934,5911.0,-109.68986511230467,17.283348083496094,-8.401641845703125,
2024-02-23 10.09.11.939,5912.0,-66.64163970947266,80.55450439453125,120.07544708251952,
2024-02-23 10.09.11.943,5913.0,-22.348533630371094,126.99732971191406,259.3967590332031,
2024-02-23 10.09.11.946,5914.0,20.66499710083008,144.79327392578125,361.4097595214844,
2024-02-23 10.09.11.953,5915.0,61.63191604614258,135.2211456298828,387.7053833007813,
2024-02-23 10.09.11.957,5916.0,98.97743225097656,106.20606994628906,322.92041015625,
2024-02-23 10.09.11.962,5917.0,129.4739990234375,68.64051055908203,179.41897583007812,
2024-02-23 10.09.11.968,5918.0,149.8212127685547,29.59536361694336,3.442203521728516,
2024-02-23 10.09.11.971,5919.0,159.08787536621094,-7.842674255371094,-151.74481201171875,
2024-02-23 10.09.11.976,5920.0,161.070068359375,-45.42501449584961,-242.3679351806641,
2024-02-23 10.09.11.982,5921.0,164.00784301757812,-84.35267639160156,-246.72576904296875,
2024-02-23 10.09.11.987,5922.0,177.761474609375,-122.37825012207033,-181.5639495849609,
2024-02-23 10.09.11.992,5923.0,208.58392333984372,-154.0133056640625,-84.50077819824219,
2024-02-23 10.09.11.996,5924.0,254.4049224853516,-171.323974609375,-1.3023948669433594,
2024-02-23 10.09.12.002,5925.0,302.3269958496094,-168.09786987304688,33.566307067871094,
2024-02-23 10.09.12.006,5926.0,331.8295593261719,-145.0029754638672,12.902851104736328,
2024-02-23 10.09.12.011,5927.0,322.08154296875,-110.14434814453124,-42.00519943237305,
2024-02-23 10.09.12.015,5928.0,262.08892822265625,-76.17878723144531,-92.47959899902344,
2024-02-23 10.09.12.019,5929.0,157.37158203125,-57.08556365966797,-100.61384582519533,
2024-02-23 10.09.12.026,5930.0,30.40796661376953,-57.0245361328125,-46.708377838134766,
2024-02-23 10.09.12.031,5931.0,-86.472412109375,-71.76054382324219,59.92721939086914,
2024-02-23 10.09.12.036,5932.0,-162.669677734375,-88.30426025390625,184.9475250244141,
2024-02-23 10.09.12.039,5933.0,-181.1674346923828,-90.74188232421876,282.6606750488281,
2024-02-23 10.09.12.043,5934.0,-144.80206298828125,-68.1646728515625,317.055908203125,
2024-02-23 10.09.12.049,5935.0,-74.62960815429688,-21.380596160888672,275.3272399902344,
2024-02-23 10.09.12.055,5936.0,-1.3479995727539062,38.72075653076172,175.7792510986328,
2024-02-23 10.09.12.059,5937.0,47.3870849609375,94.77047729492188,59.843017578125,
2024-02-23 10.09.12.064,5938.0,57.08411407470703,128.32579040527344,-25.53502655029297,
2024-02-23 10.09.12.068,5939.0,30.57836151123047,132.58538818359375,-48.58562850952149,
2024-02-23 10.09.12.074,5940.0,-15.671554565429688,109.45824432373048,-2.6303443908691406,
2024-02-23 10.09.12.079,5941.0,-60.77193832397461,71.675048828125,89.1023941040039,
2024-02-23 10.09.12.084,5942.0,-88.69511413574219,35.2075309753418,184.00018310546875,
2024-02-23 10.09.12.088,5943.0,-95.13302612304688,11.419319152832031,239.81784057617188,
2024-02-23 10.09.12.092,5944.0,-86.81913757324219,1.8160057067871092,233.09523010253903,
2024-02-23 10.09.12.098,5945.0,-75.83790588378906,-0.5991249084472656,167.15274047851562,
2024-02-23 10.09.12.103,5946.0,-70.92561340332031,-8.648544311523438,71.25607299804688,
2024-02-23 10.09.12.108,5947.0,-72.8263168334961,-32.5995979309082,-12.692882537841797,
2024-02-23 10.09.12.113,5948.0,-73.61083984375,-73.12265014648438,-49.90108489990234,
2024-02-23 10.09.12.117,5949.0,-62.38458633422852,-121.6593780517578,-24.935096740722656,
2024-02-23 10.09.12.123,5950.0,-33.0834846496582,-162.38442993164062,50.59912490844727,
2024-02-23 10.09.12.128,5951.0,10.333709716796877,-180.8660125732422,143.69126892089844,
2024-02-23 10.09.12.133,5952.0,53.72666931152344,-169.8584442138672,212.9349822998047,
2024-02-23 10.09.12.137,5953.0,79.24288940429688,-133.4420623779297,229.6230926513672,
2024-02-23 10.09.12.141,5954.0,74.64698791503906,-87.52407836914062,182.8555908203125,
2024-02-23 10.09.12.146,5955.0,40.28096008300781,-50.076416015625,89.20994567871094,
2024-02-23 10.09.12.151,5956.0,-9.689746856689451,-34.58806228637695,-17.814453125,
2024-02-23 10.09.12.157,5957.0,-53.373443603515625,-43.52938079833984,-102.5129852294922,
2024-02-23 10.09.12.162,5958.0,-71.26800537109375,-65.95829772949219,-139.5361328125,
2024-02-23 10.09.12.165,5959.0,-55.88249969482422,-82.46556091308594,-123.53619384765624,
2024-02-23 10.09.12.170,5960.0,-15.85110855102539,-74.98764038085938,-70.679931640625,
2024-02-23 10.09.12.175,5961.0,27.80622100830078,-35.16988754272461,-9.388435363769531,
2024-02-23 10.09.12.181,5962.0,52.542274475097656,32.59685516357422,33.12834167480469,
2024-02-23 10.09.12.186,5963.0,46.36866760253906,108.92568969726562,37.87874984741211,
2024-02-23 10.09.12.189,5964.0,15.213577270507812,169.38204956054688,5.066715240478516,
2024-02-23 10.09.12.196,5965.0,-19.42387008666992,193.71090698242188,-51.61338806152344,
2024-02-23 10.09.12.200,5966.0,-29.618865966796875,172.97503662109375,-112.36335754394533,
2024-02-23 10.09.12.205,5967.0,4.6162872314453125,115.02180480957033,-156.30899047851562,
2024-02-23 10.09.12.209,5968.0,84.92973327636719,40.72314453125,-173.83596801757812,
2024-02-23 10.09.12.213,5969.0,191.1060028076172,-23.496204376220703,-167.23768615722656,
2024-02-23 10.09.12.220,5970.0,288.2750244140625,-56.29307174682617,-144.9424285888672,
2024-02-23 10.09.12.225,5971.0,340.64019775390625,-48.00231170654297,-114.03313446044922,
2024-02-23 10.09.12.229,5972.0,326.2752685546875,-4.712772369384766,-80.37860107421875,
2024-02-23 10.09.12.233,5973.0,247.1651611328125,57.88493347167969,-40.69985580444336,
2024-02-23 10.09.12.237,5974.0,127.99347686767578,116.81468963623048,12.85708999633789,
2024-02-23 10.09.12.244,5975.0,5.416110992431641,153.84954833984375,84.7591323852539,
2024-02-23 10.09.12.249,5976.0,-87.42486572265625,162.09893798828125,174.29917907714844,
2024-02-23 10.09.12.254,5977.0,-133.6221160888672,144.4694366455078,268.93463134765625,
2024-02-23 10.09.12.259,5978.0,-137.03131103515625,113.4718780517578,349.1872863769531,
2024-02-23 10.09.12.262,5979.0,-117.21796417236328,87.02275085449219,392.75341796875,
2024-02-23 10.09.12.268,5980.0,-97.4212646484375,77.3408203125,382.7113037109375,
2024-02-23 10.09.12.273,5981.0,-92.53121948242188,85.76900482177734,316.9136962890625,
2024-02-23 10.09.12.278,5982.0,-102.3756866455078,109.2036590576172,207.1485748291016,
2024-02-23 10.09.12.283,5983.0,-113.6798858642578,136.14927673339844,75.53822326660156,
2024-02-23 10.09.12.286,5984.0,-109.08071899414062,154.03143310546875,-47.74092483520508,
2024-02-23 10.09.12.292,5985.0,-78.23272705078125,155.68629455566406,-142.5598907470703,
2024-02-23 10.09.12.297,5986.0,-24.63855361938477,141.5,-197.06982421875,
2024-02-23 10.09.12.301,5987.0,35.34014892578125,117.71945190429688,-211.40744018554688,
2024-02-23 10.09.12.307,5988.0,79.40310668945312,95.4034194946289,-197.4844970703125,
2024-02-23 10.09.12.310,5989.0,91.04478454589844,83.08255004882812,-165.27699279785156,
2024-02-23 10.09.12.317,5990.0,68.82173156738281,83.32275390625,-124.30743408203124,
2024-02-23 10.09.12.322,5991.0,27.018451690673828,90.07601165771484,-79.85697937011719,
2024-02-23 10.09.12.327,5992.0,-9.393302917480469,89.85881042480469,-32.628700256347656,
2024-02-23 10.09.12.331,5993.0,-17.656299591064453,69.49954223632812,15.67349624633789,
2024-02-23 10.09.12.334,5994.0,12.047332763671877,22.366600036621094,57.8191032409668,
2024-02-23 10.09.12.341,5995.0,71.31378936767578,-47.81661605834961,84.71036529541016,
2024-02-23 10.09.12.346,5996.0,136.36822509765625,-126.7395477294922,84.34420776367188,
2024-02-23 10.09.12.350,5997.0,178.1781768798828,-192.02232360839844,49.4373664855957,
2024-02-23 10.09.12.355,5998.0,175.3760223388672,-221.7572479248047,-15.589588165283203,
2024-02-23 10.09.12.359,5999.0,122.8726806640625,-203.8337860107422,-95.0242919921875,
2024-02-23 10.09.12.365,6000.0,34.734004974365234,-139.5299072265625,-165.1646728515625,
2024-02-23 10.09.12.369,6001.0,-62.24604034423828,-46.058738708496094,-201.5417022705078,
2024-02-23 10.09.12.375,6002.0,-139.6761016845703,48.38899993896485,-187.90206909179688,
2024-02-23 10.09.12.380,6003.0,-178.13421630859375,116.65670776367188,-127.50821685791016,
2024-02-23 10.09.12.383,6004.0,-173.29649353027344,140.88328552246094,-39.23053359985352,
2024-02-23 10.09.12.390,6005.0,-135.0579071044922,117.10154724121094,46.27792739868164,
2024-02-23 10.09.12.394,6006.0,-81.29873657226562,61.48629379272461,99.05047607421876,
2024-02-23 10.09.12.398,6007.0,-29.37073135375977,-2.678905487060547,104.17405700683594,
2024-02-23 10.09.12.404,6008.0,9.933059692382812,-52.705997467041016,63.88534927368164,
2024-02-23 10.09.12.407,6009.0,33.865760803222656,-73.96884155273438,-2.1638717651367188,
2024-02-23 10.09.12.413,6010.0,44.6497802734375,-68.053955078125,-66.01382446289062,
2024-02-23 10.09.12.418,6011.0,44.82107162475586,-47.43870162963867,-106.7558135986328,
2024-02-23 10.09.12.424,6012.0,34.86542892456055,-29.44571304321289,-114.85807800292967,
2024-02-23 10.09.12.428,6013.0,12.303939819335938,-27.14600372314453,-100.6664581298828,
2024-02-23 10.09.12.432,6014.0,-24.41927719116211,-42.85554885864258,-84.26409912109375,
2024-02-23 10.09.12.438,6015.0,-72.46871185302734,-65.45736694335938,-83.93537902832031,
2024-02-23 10.09.12.443,6016.0,-122.96092224121094,-78.571044921875,-108.91154479980467,
