,datetimes,events
0,2024-03-29 11.10.33.901,START
1,2024-03-29 11.10.38.900,STANDARD
2,2024-03-29 11.10.39.920,STANDARD
3,2024-03-29 11.10.41.430,STANDARD
4,2024-03-29 11.10.42.955,TARGET
5,2024-03-29 11.10.43.381,KEY PRESS
6,2024-03-29 11.10.44.466,STANDARD
7,2024-03-29 11.10.45.978,STANDARD
8,2024-03-29 11.10.47.491,STANDARD
9,2024-03-29 11.10.49.001,STANDARD
10,2024-03-29 11.10.50.505,TARGET
11,2024-03-29 11.10.50.936,KEY PRESS
12,2024-03-29 11.10.52.024,STANDARD
13,2024-03-29 11.10.53.539,STANDARD
14,2024-03-29 11.10.55.065,STANDARD
15,2024-03-29 11.10.56.586,STANDARD
16,2024-03-29 11.10.58.098,STANDARD
17,2024-03-29 11.10.59.614,STANDARD
18,2024-03-29 11.11.01.124,STANDARD
19,2024-03-29 11.11.02.642,TARGET
20,2024-03-29 11.11.03.041,KEY PRESS
21,2024-03-29 11.11.04.158,STANDARD
22,2024-03-29 11.11.05.669,STANDARD
23,2024-03-29 11.11.07.186,TARGET
24,2024-03-29 11.11.07.876,KEY PRESS
25,2024-03-29 11.11.08.698,STANDARD
26,2024-03-29 11.11.10.212,STANDARD
27,2024-03-29 11.11.11.726,STANDARD
28,2024-03-29 11.11.13.236,TARGET
29,2024-03-29 11.11.13.597,KEY PRESS
30,2024-03-29 11.11.14.752,STANDARD
31,2024-03-29 11.11.16.267,TARGET
32,2024-03-29 11.11.16.776,KEY PRESS
33,2024-03-29 11.11.17.775,STANDARD
34,2024-03-29 11.11.19.294,STANDARD
35,2024-03-29 11.11.20.807,STANDARD
36,2024-03-29 11.11.22.319,STANDARD
37,2024-03-29 11.11.23.836,TARGET
38,2024-03-29 11.11.24.202,KEY PRESS
39,2024-03-29 11.11.25.355,TARGET
40,2024-03-29 11.11.25.900,KEY PRESS
41,2024-03-29 11.11.26.868,STANDARD
42,2024-03-29 11.11.28.390,STANDARD
43,2024-03-29 11.11.29.905,STANDARD
44,2024-03-29 11.11.31.426,STANDARD
45,2024-03-29 11.11.32.946,STANDARD
46,2024-03-29 11.11.34.466,STANDARD
47,2024-03-29 11.11.35.978,STANDARD
48,2024-03-29 11.11.37.493,STANDARD
49,2024-03-29 11.11.39.007,STANDARD
50,2024-03-29 11.11.40.519,TARGET
51,2024-03-29 11.11.40.880,KEY PRESS
52,2024-03-29 11.11.42.037,STANDARD
53,2024-03-29 11.11.43.553,STANDARD
54,2024-03-29 11.11.45.065,STANDARD
55,2024-03-29 11.11.46.577,STANDARD
56,2024-03-29 11.11.48.088,STANDARD
57,2024-03-29 11.11.49.615,TARGET
58,2024-03-29 11.11.49.961,KEY PRESS
59,2024-03-29 11.11.51.128,STANDARD
60,2024-03-29 11.11.52.643,STANDARD
61,2024-03-29 11.11.54.157,STANDARD
62,2024-03-29 11.11.55.675,TARGET
63,2024-03-29 11.11.56.037,KEY PRESS
64,2024-03-29 11.11.57.191,STANDARD
65,2024-03-29 11.11.58.707,TARGET
66,2024-03-29 11.11.59.089,KEY PRESS
67,2024-03-29 11.12.00.217,STANDARD
68,2024-03-29 11.12.01.744,STANDARD
69,2024-03-29 11.12.03.258,STANDARD
70,2024-03-29 11.12.04.772,STANDARD
71,2024-03-29 11.12.06.293,STANDARD
72,2024-03-29 11.12.07.805,STANDARD
73,2024-03-29 11.12.09.327,TARGET
74,2024-03-29 11.12.09.706,KEY PRESS
75,2024-03-29 11.12.10.850,STANDARD
76,2024-03-29 11.12.12.360,STANDARD
77,2024-03-29 11.12.13.885,STANDARD
78,2024-03-29 11.12.15.408,STANDARD
79,2024-03-29 11.12.16.924,STANDARD
80,2024-03-29 11.12.18.454,TARGET
81,2024-03-29 11.12.18.822,KEY PRESS
82,2024-03-29 11.12.19.955,STANDARD
83,2024-03-29 11.12.21.481,STANDARD
84,2024-03-29 11.12.23.008,STANDARD
85,2024-03-29 11.12.24.523,STANDARD
86,2024-03-29 11.12.26.041,STANDARD
87,2024-03-29 11.12.27.553,TARGET
88,2024-03-29 11.12.27.901,KEY PRESS
89,2024-03-29 11.12.29.080,STANDARD
90,2024-03-29 11.12.30.604,STANDARD
91,2024-03-29 11.12.32.132,STANDARD
92,2024-03-29 11.12.33.657,STANDARD
93,2024-03-29 11.12.35.183,TARGET
94,2024-03-29 11.12.35.602,KEY PRESS
95,2024-03-29 11.12.36.684,STANDARD
96,2024-03-29 11.12.38.213,STANDARD
97,2024-03-29 11.12.39.731,STANDARD
98,2024-03-29 11.12.41.243,TARGET
99,2024-03-29 11.12.41.645,KEY PRESS
100,2024-03-29 11.12.42.753,STANDARD
101,2024-03-29 11.12.44.265,STANDARD
102,2024-03-29 11.12.45.782,STANDARD
103,2024-03-29 11.12.47.312,STANDARD
104,2024-03-29 11.12.48.833,STANDARD
105,2024-03-29 11.12.50.352,STANDARD
106,2024-03-29 11.12.51.853,TARGET
107,2024-03-29 11.12.52.186,KEY PRESS
108,2024-03-29 11.12.53.375,STANDARD
109,2024-03-29 11.12.54.897,STANDARD
110,2024-03-29 11.12.56.418,STANDARD
111,2024-03-29 11.12.57.940,STANDARD
112,2024-03-29 11.12.59.464,STANDARD
113,2024-03-29 11.13.00.984,TARGET
114,2024-03-29 11.13.01.363,KEY PRESS
115,2024-03-29 11.13.02.502,STANDARD
116,2024-03-29 11.13.04.026,STANDARD
117,2024-03-29 11.13.05.548,TARGET
118,2024-03-29 11.13.05.949,KEY PRESS
119,2024-03-29 11.13.07.060,STANDARD
120,2024-03-29 11.13.08.589,STANDARD
121,2024-03-29 11.13.10.116,END
