,datetimes,events
0,2024-03-25 16.20.34.988,START
1,2024-03-25 16.20.39.987,STANDARD
2,2024-03-25 16.20.41.002,TARGET
3,2024-03-25 16.20.41.334,KEY PRESS
4,2024-03-25 16.20.42.515,TARGET
5,2024-03-25 16.20.42.831,KEY PRESS
6,2024-03-25 16.20.44.043,STANDARD
7,2024-03-25 16.20.45.571,STANDARD
8,2024-03-25 16.20.47.095,STANDARD
9,2024-03-25 16.20.48.619,STANDARD
10,2024-03-25 16.20.50.138,STANDARD
11,2024-03-25 16.20.51.662,STANDARD
12,2024-03-25 16.20.53.191,STANDARD
13,2024-03-25 16.20.54.710,STANDARD
14,2024-03-25 16.20.56.226,STANDARD
15,2024-03-25 16.20.57.734,STANDARD
16,2024-03-25 16.20.59.245,STANDARD
17,2024-03-25 16.21.00.760,STANDARD
18,2024-03-25 16.21.02.273,STANDARD
19,2024-03-25 16.21.03.787,TARGET
20,2024-03-25 16.21.04.168,KEY PRESS
21,2024-03-25 16.21.05.304,STANDARD
22,2024-03-25 16.21.06.820,STANDARD
23,2024-03-25 16.21.08.348,TARGET
24,2024-03-25 16.21.08.761,KEY PRESS
25,2024-03-25 16.21.09.873,STANDARD
26,2024-03-25 16.21.11.404,TARGET
27,2024-03-25 16.21.11.721,KEY PRESS
28,2024-03-25 16.21.12.920,TARGET
29,2024-03-25 16.21.13.301,KEY PRESS
30,2024-03-25 16.21.14.447,STANDARD
31,2024-03-25 16.21.15.965,STANDARD
32,2024-03-25 16.21.17.477,STANDARD
33,2024-03-25 16.21.19.006,STANDARD
34,2024-03-25 16.21.20.531,STANDARD
35,2024-03-25 16.21.22.040,STANDARD
36,2024-03-25 16.21.23.556,STANDARD
37,2024-03-25 16.21.25.081,STANDARD
38,2024-03-25 16.21.26.605,STANDARD
39,2024-03-25 16.21.28.112,STANDARD
40,2024-03-25 16.21.29.623,TARGET
41,2024-03-25 16.21.29.987,KEY PRESS
42,2024-03-25 16.21.31.144,STANDARD
43,2024-03-25 16.21.32.665,STANDARD
44,2024-03-25 16.21.34.197,STANDARD
45,2024-03-25 16.21.35.723,STANDARD
46,2024-03-25 16.21.37.240,TARGET
47,2024-03-25 16.21.37.657,KEY PRESS
48,2024-03-25 16.21.38.755,STANDARD
49,2024-03-25 16.21.40.283,STANDARD
50,2024-03-25 16.21.41.795,STANDARD
51,2024-03-25 16.21.43.296,TARGET
52,2024-03-25 16.21.43.642,KEY PRESS
53,2024-03-25 16.21.44.821,STANDARD
54,2024-03-25 16.21.46.339,STANDARD
55,2024-03-25 16.21.47.862,STANDARD
56,2024-03-25 16.21.49.363,STANDARD
57,2024-03-25 16.21.50.880,STANDARD
58,2024-03-25 16.21.52.411,STANDARD
59,2024-03-25 16.21.53.923,TARGET
60,2024-03-25 16.21.54.318,KEY PRESS
61,2024-03-25 16.21.55.449,STANDARD
62,2024-03-25 16.21.56.966,STANDARD
63,2024-03-25 16.21.58.493,TARGET
64,2024-03-25 16.21.58.876,KEY PRESS
65,2024-03-25 16.22.00.016,STANDARD
66,2024-03-25 16.22.01.543,STANDARD
67,2024-03-25 16.22.03.074,STANDARD
