,datetimes,events
0,2024-02-23 12.06.28.929,START
1,2024-02-23 12.06.33.929,STANDARD
2,2024-02-23 12.06.34.950,STANDARD
3,2024-02-23 12.06.36.459,STANDARD
4,2024-02-23 12.06.37.973,STANDARD
5,2024-02-23 12.06.39.501,STANDARD
6,2024-02-23 12.06.41.030,STANDARD
7,2024-02-23 12.06.42.560,TARGET
8,2024-02-23 12.06.43.010,KEY PRESS
9,2024-02-23 12.06.44.073,TARGET
10,2024-02-23 12.06.44.474,KEY PRESS
11,2024-02-23 12.06.45.584,STANDARD
12,2024-02-23 12.06.47.093,STANDARD
13,2024-02-23 12.06.48.619,STANDARD
14,2024-02-23 12.06.50.147,STANDARD
15,2024-02-23 12.06.51.668,STANDARD
16,2024-02-23 12.06.53.192,STANDARD
17,2024-02-23 12.06.54.719,STANDARD
18,2024-02-23 12.06.56.230,STANDARD
19,2024-02-23 12.06.57.759,STANDARD
20,2024-02-23 12.06.59.284,STANDARD
21,2024-02-23 12.07.00.808,TARGET
22,2024-02-23 12.07.01.292,KEY PRESS
23,2024-02-23 12.07.02.317,TARGET
24,2024-02-23 12.07.02.681,KEY PRESS
25,2024-02-23 12.07.03.844,STANDARD
26,2024-02-23 12.07.05.372,STANDARD
27,2024-02-23 12.07.06.902,TARGET
28,2024-02-23 12.07.07.417,KEY PRESS
29,2024-02-23 12.07.08.426,STANDARD
30,2024-02-23 12.07.09.954,STANDARD
31,2024-02-23 12.07.11.469,STANDARD
32,2024-02-23 12.07.12.997,TARGET
33,2024-02-23 12.07.13.443,KEY PRESS
34,2024-02-23 12.07.14.516,STANDARD
35,2024-02-23 12.07.16.044,STANDARD
36,2024-02-23 12.07.17.571,STANDARD
37,2024-02-23 12.07.19.082,STANDARD
38,2024-02-23 12.07.20.607,STANDARD
39,2024-02-23 12.07.22.120,STANDARD
40,2024-02-23 12.07.23.631,STANDARD
41,2024-02-23 12.07.25.146,STANDARD
42,2024-02-23 12.07.26.674,STANDARD
43,2024-02-23 12.07.28.201,STANDARD
44,2024-02-23 12.07.29.730,TARGET
45,2024-02-23 12.07.30.279,KEY PRESS
46,2024-02-23 12.07.31.232,STANDARD
47,2024-02-23 12.07.32.745,TARGET
48,2024-02-23 12.07.33.261,KEY PRESS
49,2024-02-23 12.07.34.273,STANDARD
50,2024-02-23 12.07.35.788,STANDARD
51,2024-02-23 12.07.37.304,STANDARD
