,datetimes,events
0,2024-02-27 15.11.06.650,START
1,2024-02-27 15.11.11.650,TARGET
2,2024-02-27 15.11.12.672,STANDARD
3,2024-02-27 15.11.14.198,STANDARD
4,2024-02-27 15.11.15.711,STANDARD
5,2024-02-27 15.11.17.231,TARGET
6,2024-02-27 15.11.17.745,KEY PRESS
7,2024-02-27 15.11.18.746,STANDARD
8,2024-02-27 15.11.20.263,STANDARD
9,2024-02-27 15.11.21.785,STANDARD
10,2024-02-27 15.11.23.303,STANDARD
11,2024-02-27 15.11.24.826,STANDARD
12,2024-02-27 15.11.26.342,STANDARD
13,2024-02-27 15.11.27.861,STANDARD
14,2024-02-27 15.11.29.381,STANDARD
15,2024-02-27 15.11.30.898,TARGET
16,2024-02-27 15.11.31.443,KEY PRESS
17,2024-02-27 15.11.32.418,STANDARD
18,2024-02-27 15.11.33.940,STANDARD
19,2024-02-27 15.11.35.460,TARGET
20,2024-02-27 15.11.35.837,KEY PRESS
21,2024-02-27 15.11.36.974,STANDARD
22,2024-02-27 15.11.38.484,STANDARD
23,2024-02-27 15.11.40.006,STANDARD
24,2024-02-27 15.11.41.527,TARGET
25,2024-02-27 15.11.41.890,KEY PRESS
26,2024-02-27 15.11.43.042,STANDARD
27,2024-02-27 15.11.44.563,TARGET
28,2024-02-27 15.11.44.994,KEY PRESS
29,2024-02-27 15.11.46.092,STANDARD
30,2024-02-27 15.11.47.610,STANDARD
31,2024-02-27 15.11.49.129,STANDARD
32,2024-02-27 15.11.50.653,STANDARD
33,2024-02-27 15.11.52.175,STANDARD
34,2024-02-27 15.11.53.698,STANDARD
35,2024-02-27 15.11.55.221,STANDARD
36,2024-02-27 15.11.56.731,STANDARD
37,2024-02-27 15.11.58.258,TARGET
38,2024-02-27 15.11.58.641,KEY PRESS
39,2024-02-27 15.11.59.785,STANDARD
40,2024-02-27 15.12.01.309,TARGET
41,2024-02-27 15.12.01.758,KEY PRESS
42,2024-02-27 15.12.02.824,STANDARD
43,2024-02-27 15.12.04.352,STANDARD
44,2024-02-27 15.12.05.867,STANDARD
45,2024-02-27 15.12.07.393,STANDARD
46,2024-02-27 15.12.08.893,STANDARD
47,2024-02-27 15.12.10.423,STANDARD
48,2024-02-27 15.12.11.947,TARGET
49,2024-02-27 15.12.12.459,KEY PRESS
50,2024-02-27 15.12.13.458,STANDARD
51,2024-02-27 15.12.14.981,STANDARD
52,2024-02-27 15.12.16.491,STANDARD
53,2024-02-27 15.12.18.016,STANDARD
54,2024-02-27 15.12.19.542,STANDARD
55,2024-02-27 15.12.21.051,STANDARD
56,2024-02-27 15.12.22.571,STANDARD
57,2024-02-27 15.12.24.089,STANDARD
58,2024-02-27 15.12.25.603,TARGET
59,2024-02-27 15.12.26.045,KEY PRESS
60,2024-02-27 15.12.27.124,STANDARD
61,2024-02-27 15.12.28.646,STANDARD
62,2024-02-27 15.12.30.167,STANDARD
63,2024-02-27 15.12.31.692,TARGET
64,2024-02-27 15.12.32.121,KEY PRESS
65,2024-02-27 15.12.33.204,STANDARD
66,2024-02-27 15.12.34.725,TARGET
67,2024-02-27 15.12.35.220,KEY PRESS
68,2024-02-27 15.12.36.244,STANDARD
69,2024-02-27 15.12.37.761,STANDARD
70,2024-02-27 15.12.39.285,STANDARD
71,2024-02-27 15.12.40.806,STANDARD
72,2024-02-27 15.12.42.332,STANDARD
73,2024-02-27 15.12.43.851,TARGET
74,2024-02-27 15.12.44.367,KEY PRESS
75,2024-02-27 15.12.45.376,STANDARD
76,2024-02-27 15.12.46.890,STANDARD
77,2024-02-27 15.12.48.412,STANDARD
78,2024-02-27 15.12.49.928,STANDARD
79,2024-02-27 15.12.51.444,STANDARD
80,2024-02-27 15.12.52.965,TARGET
81,2024-02-27 15.12.53.393,KEY PRESS
82,2024-02-27 15.12.54.488,STANDARD
83,2024-02-27 15.12.56.003,STANDARD
84,2024-02-27 15.12.57.521,STANDARD
85,2024-02-27 15.12.59.043,STANDARD
86,2024-02-27 15.13.00.562,STANDARD
87,2024-02-27 15.13.02.079,TARGET
88,2024-02-27 15.13.02.493,KEY PRESS
89,2024-02-27 15.13.03.596,TARGET
90,2024-02-27 15.13.04.110,KEY PRESS
91,2024-02-27 15.13.05.114,STANDARD
92,2024-02-27 15.13.06.633,STANDARD
93,2024-02-27 15.13.08.149,STANDARD
94,2024-02-27 15.13.09.671,STANDARD
95,2024-02-27 15.13.11.191,STANDARD
96,2024-02-27 15.13.12.705,STANDARD
97,2024-02-27 15.13.14.227,STANDARD
98,2024-02-27 15.13.15.742,TARGET
99,2024-02-27 15.13.16.135,KEY PRESS
100,2024-02-27 15.13.17.258,STANDARD
101,2024-02-27 15.13.18.767,TARGET
102,2024-02-27 15.13.19.195,KEY PRESS
103,2024-02-27 15.13.20.289,STANDARD
104,2024-02-27 15.13.21.809,STANDARD
105,2024-02-27 15.13.23.336,STANDARD
106,2024-02-27 15.13.24.854,STANDARD
107,2024-02-27 15.13.26.376,STANDARD
108,2024-02-27 15.13.27.900,STANDARD
109,2024-02-27 15.13.29.431,TARGET
110,2024-02-27 15.13.29.927,KEY PRESS
111,2024-02-27 15.13.30.956,STANDARD
112,2024-02-27 15.13.32.467,STANDARD
113,2024-02-27 15.13.33.982,STANDARD
114,2024-02-27 15.13.35.506,STANDARD
115,2024-02-27 15.13.37.035,TARGET
116,2024-02-27 15.13.37.417,KEY PRESS
117,2024-02-27 15.13.38.558,STANDARD
118,2024-02-27 15.13.40.072,STANDARD
119,2024-02-27 15.13.41.596,STANDARD
120,2024-02-27 15.13.43.124,END
