,datetimes,events
0,2024-04-01 16.00.53.189,START
1,2024-04-01 16.00.58.189,STANDARD
2,2024-04-01 16.00.59.206,STANDARD
3,2024-04-01 16.01.00.732,STANDARD
4,2024-04-01 16.01.02.256,STANDARD
5,2024-04-01 16.01.03.783,STANDARD
6,2024-04-01 16.01.05.291,STANDARD
7,2024-04-01 16.01.06.823,TARGET
8,2024-04-01 16.01.07.288,KEY PRESS
9,2024-04-01 16.01.08.345,STANDARD
10,2024-04-01 16.01.09.852,STANDARD
11,2024-04-01 16.01.11.379,TARGET
12,2024-04-01 16.01.11.828,KEY PRESS
13,2024-04-01 16.01.12.900,TARGET
14,2024-04-01 16.01.13.290,KEY PRESS
15,2024-04-01 16.01.14.416,STANDARD
16,2024-04-01 16.01.15.932,STANDARD
17,2024-04-01 16.01.17.442,STANDARD
18,2024-04-01 16.01.18.968,STANDARD
19,2024-04-01 16.01.20.480,STANDARD
20,2024-04-01 16.01.22.007,STANDARD
21,2024-04-01 16.01.23.537,TARGET
22,2024-04-01 16.01.23.952,KEY PRESS
23,2024-04-01 16.01.25.062,STANDARD
24,2024-04-01 16.01.26.586,STANDARD
25,2024-04-01 16.01.28.111,TARGET
26,2024-04-01 16.01.28.511,KEY PRESS
27,2024-04-01 16.01.29.623,STANDARD
28,2024-04-01 16.01.31.151,STANDARD
29,2024-04-01 16.01.32.668,STANDARD
30,2024-04-01 16.01.34.178,STANDARD
31,2024-04-01 16.01.35.707,STANDARD
32,2024-04-01 16.01.37.234,STANDARD
33,2024-04-01 16.01.38.761,STANDARD
34,2024-04-01 16.01.40.276,TARGET
35,2024-04-01 16.01.40.956,KEY PRESS
36,2024-04-01 16.01.41.797,STANDARD
37,2024-04-01 16.01.43.325,STANDARD
38,2024-04-01 16.01.44.855,STANDARD
39,2024-04-01 16.01.46.381,STANDARD
40,2024-04-01 16.01.47.904,STANDARD
41,2024-04-01 16.01.49.433,TARGET
42,2024-04-01 16.01.49.800,KEY PRESS
43,2024-04-01 16.01.50.947,STANDARD
44,2024-04-01 16.01.52.473,STANDARD
45,2024-04-01 16.01.53.998,STANDARD
46,2024-04-01 16.01.55.512,TARGET
47,2024-04-01 16.01.55.912,KEY PRESS
48,2024-04-01 16.01.57.026,STANDARD
49,2024-04-01 16.01.58.536,TARGET
50,2024-04-01 16.01.58.952,KEY PRESS
51,2024-04-01 16.02.00.062,STANDARD
52,2024-04-01 16.02.01.588,STANDARD
53,2024-04-01 16.02.03.116,STANDARD
54,2024-04-01 16.02.04.619,STANDARD
55,2024-04-01 16.02.06.149,STANDARD
56,2024-04-01 16.02.07.676,STANDARD
57,2024-04-01 16.02.09.185,STANDARD
58,2024-04-01 16.02.10.691,STANDARD
59,2024-04-01 16.02.12.203,TARGET
60,2024-04-01 16.02.12.767,KEY PRESS
61,2024-04-01 16.02.13.730,STANDARD
62,2024-04-01 16.02.15.244,STANDARD
63,2024-04-01 16.02.16.763,STANDARD
64,2024-04-01 16.02.18.292,STANDARD
65,2024-04-01 16.02.19.816,STANDARD
66,2024-04-01 16.02.21.346,STANDARD
67,2024-04-01 16.02.22.860,STANDARD
68,2024-04-01 16.02.24.370,TARGET
69,2024-04-01 16.02.24.822,KEY PRESS
70,2024-04-01 16.02.25.881,STANDARD
71,2024-04-01 16.02.27.393,TARGET
72,2024-04-01 16.02.27.829,KEY PRESS
73,2024-04-01 16.02.28.909,STANDARD
74,2024-04-01 16.02.30.435,STANDARD
75,2024-04-01 16.02.31.959,STANDARD
76,2024-04-01 16.02.33.483,STANDARD
77,2024-04-01 16.02.35.006,STANDARD
78,2024-04-01 16.02.36.533,TARGET
79,2024-04-01 16.02.36.967,KEY PRESS
80,2024-04-01 16.02.38.049,TARGET
81,2024-04-01 16.02.38.516,KEY PRESS
82,2024-04-01 16.02.39.573,STANDARD
83,2024-04-01 16.02.41.097,STANDARD
84,2024-04-01 16.02.42.617,STANDARD
85,2024-04-01 16.02.44.132,TARGET
86,2024-04-01 16.02.44.618,KEY PRESS
87,2024-04-01 16.02.45.650,STANDARD
88,2024-04-01 16.02.47.171,STANDARD
89,2024-04-01 16.02.48.696,STANDARD
90,2024-04-01 16.02.50.223,STANDARD
91,2024-04-01 16.02.51.732,TARGET
92,2024-04-01 16.02.52.198,KEY PRESS
93,2024-04-01 16.02.53.260,STANDARD
94,2024-04-01 16.02.54.786,STANDARD
95,2024-04-01 16.02.56.302,STANDARD
96,2024-04-01 16.02.57.830,STANDARD
97,2024-04-01 16.02.59.353,STANDARD
98,2024-04-01 16.03.00.869,STANDARD
99,2024-04-01 16.03.02.383,STANDARD
100,2024-04-01 16.03.03.910,STANDARD
101,2024-04-01 16.03.05.432,STANDARD
102,2024-04-01 16.03.06.961,STANDARD
103,2024-04-01 16.03.08.484,STANDARD
104,2024-04-01 16.03.10.000,TARGET
105,2024-04-01 16.03.10.478,KEY PRESS
106,2024-04-01 16.03.11.525,TARGET
107,2024-04-01 16.03.11.958,KEY PRESS
108,2024-04-01 16.03.13.040,STANDARD
109,2024-04-01 16.03.14.570,STANDARD
110,2024-04-01 16.03.16.099,TARGET
111,2024-04-01 16.03.16.495,KEY PRESS
112,2024-04-01 16.03.17.612,TARGET
113,2024-04-01 16.03.18.010,KEY PRESS
114,2024-04-01 16.03.19.123,STANDARD
115,2024-04-01 16.03.20.652,STANDARD
116,2024-04-01 16.03.22.165,STANDARD
117,2024-04-01 16.03.23.692,STANDARD
118,2024-04-01 16.03.25.203,STANDARD
119,2024-04-01 16.03.26.729,STANDARD
120,2024-04-01 16.03.28.257,STANDARD
121,2024-04-01 16.03.29.771,END
