,datetimes,events
0,2024-02-23 12.02.59.481,START
1,2024-02-23 12.03.04.481,STANDARD
2,2024-02-23 12.03.05.500,STANDARD
3,2024-02-23 12.03.07.029,STANDARD
4,2024-02-23 12.03.08.552,STANDARD
5,2024-02-23 12.03.10.069,TARGET
6,2024-02-23 12.03.10.468,KEY PRESS
7,2024-02-23 12.03.11.599,TARGET
8,2024-02-23 12.03.12.081,KEY PRESS
9,2024-02-23 12.03.13.126,STANDARD
10,2024-02-23 12.03.14.657,STANDARD
11,2024-02-23 12.03.16.170,STANDARD
12,2024-02-23 12.03.17.698,STANDARD
13,2024-02-23 12.03.19.226,STANDARD
14,2024-02-23 12.03.20.739,STANDARD
15,2024-02-23 12.03.22.256,STANDARD
16,2024-02-23 12.03.23.783,TARGET
17,2024-02-23 12.03.24.146,KEY PRESS
18,2024-02-23 12.03.25.311,STANDARD
19,2024-02-23 12.03.26.841,STANDARD
20,2024-02-23 12.03.28.368,STANDARD
21,2024-02-23 12.03.29.881,TARGET
22,2024-02-23 12.03.30.399,KEY PRESS
23,2024-02-23 12.03.31.411,STANDARD
24,2024-02-23 12.03.32.937,STANDARD
25,2024-02-23 12.03.34.452,STANDARD
26,2024-02-23 12.03.35.980,STANDARD
27,2024-02-23 12.03.37.486,STANDARD
28,2024-02-23 12.03.39.016,STANDARD
29,2024-02-23 12.03.40.537,STANDARD
30,2024-02-23 12.03.42.051,STANDARD
31,2024-02-23 12.03.43.566,STANDARD
32,2024-02-23 12.03.45.095,TARGET
33,2024-02-23 12.03.45.644,KEY PRESS
34,2024-02-23 12.03.46.611,STANDARD
35,2024-02-23 12.03.48.122,TARGET
36,2024-02-23 12.03.48.770,KEY PRESS
37,2024-02-23 12.03.49.635,STANDARD
38,2024-02-23 12.03.51.152,STANDARD
39,2024-02-23 12.03.52.682,TARGET
40,2024-02-23 12.03.53.197,KEY PRESS
41,2024-02-23 12.03.54.199,STANDARD
42,2024-02-23 12.03.55.724,STANDARD
43,2024-02-23 12.03.57.237,STANDARD
44,2024-02-23 12.03.58.739,STANDARD
45,2024-02-23 12.04.00.252,TARGET
46,2024-02-23 12.04.00.767,KEY PRESS
47,2024-02-23 12.04.01.777,STANDARD
48,2024-02-23 12.04.03.280,STANDARD
49,2024-02-23 12.04.04.808,STANDARD
50,2024-02-23 12.04.06.322,STANDARD
51,2024-02-23 12.04.07.850,TARGET
52,2024-02-23 12.04.08.317,KEY PRESS
53,2024-02-23 12.04.09.375,STANDARD
54,2024-02-23 12.04.10.901,STANDARD
55,2024-02-23 12.04.12.415,STANDARD
56,2024-02-23 12.04.13.941,STANDARD
57,2024-02-23 12.04.15.456,TARGET
58,2024-02-23 12.04.15.953,KEY PRESS
59,2024-02-23 12.04.16.969,STANDARD
60,2024-02-23 12.04.18.488,STANDARD
61,2024-02-23 12.04.20.003,STANDARD
62,2024-02-23 12.04.21.519,STANDARD
63,2024-02-23 12.04.23.044,STANDARD
64,2024-02-23 12.04.24.571,STANDARD
65,2024-02-23 12.04.26.097,STANDARD
66,2024-02-23 12.04.27.613,TARGET
67,2024-02-23 12.04.28.060,KEY PRESS
68,2024-02-23 12.04.29.128,STANDARD
69,2024-02-23 12.04.30.644,STANDARD
70,2024-02-23 12.04.32.169,STANDARD
71,2024-02-23 12.04.33.695,TARGET
72,2024-02-23 12.04.34.127,KEY PRESS
73,2024-02-23 12.04.35.212,STANDARD
74,2024-02-23 12.04.36.713,STANDARD
75,2024-02-23 12.04.38.229,STANDARD
76,2024-02-23 12.04.39.729,TARGET
77,2024-02-23 12.04.40.294,KEY PRESS
78,2024-02-23 12.04.41.246,STANDARD
79,2024-02-23 12.04.42.768,STANDARD
80,2024-02-23 12.04.44.294,STANDARD
81,2024-02-23 12.04.45.821,TARGET
82,2024-02-23 12.04.46.268,KEY PRESS
83,2024-02-23 12.04.47.348,STANDARD
84,2024-02-23 12.04.48.872,STANDARD
85,2024-02-23 12.04.50.380,TARGET
86,2024-02-23 12.04.50.863,KEY PRESS
87,2024-02-23 12.04.51.893,STANDARD
88,2024-02-23 12.04.53.416,STANDARD
89,2024-02-23 12.04.54.930,STANDARD
90,2024-02-23 12.04.56.457,STANDARD
91,2024-02-23 12.04.57.983,STANDARD
92,2024-02-23 12.04.59.514,STANDARD
93,2024-02-23 12.05.01.037,STANDARD
94,2024-02-23 12.05.02.565,TARGET
95,2024-02-23 12.05.02.981,KEY PRESS
96,2024-02-23 12.05.04.077,STANDARD
97,2024-02-23 12.05.05.593,STANDARD
98,2024-02-23 12.05.07.119,STANDARD
99,2024-02-23 12.05.08.637,STANDARD
100,2024-02-23 12.05.10.161,TARGET
101,2024-02-23 12.05.10.598,KEY PRESS
102,2024-02-23 12.05.11.679,STANDARD
103,2024-02-23 12.05.13.180,STANDARD
104,2024-02-23 12.05.14.701,STANDARD
105,2024-02-23 12.05.16.228,STANDARD
106,2024-02-23 12.05.17.740,TARGET
107,2024-02-23 12.05.18.266,KEY PRESS
108,2024-02-23 12.05.19.263,STANDARD
109,2024-02-23 12.05.20.788,TARGET
110,2024-02-23 12.05.21.320,KEY PRESS
111,2024-02-23 12.05.22.315,STANDARD
112,2024-02-23 12.05.23.815,TARGET
113,2024-02-23 12.05.24.264,KEY PRESS
114,2024-02-23 12.05.25.342,STANDARD
115,2024-02-23 12.05.26.870,STANDARD
116,2024-02-23 12.05.28.396,STANDARD
117,2024-02-23 12.05.29.925,STANDARD
118,2024-02-23 12.05.31.452,STANDARD
119,2024-02-23 12.05.32.978,STANDARD
120,2024-02-23 12.05.34.493,STANDARD
121,2024-02-23 12.05.36.022,END
