,datetimes,events
0,2024-03-29 17.12.43.540,START
1,2024-03-29 17.12.48.539,STANDARD
2,2024-03-29 17.12.49.551,STANDARD
3,2024-03-29 17.12.51.078,STANDARD
4,2024-03-29 17.12.52.586,TARGET
5,2024-03-29 17.12.52.983,KEY PRESS
6,2024-03-29 17.12.54.105,TARGET
7,2024-03-29 17.12.54.551,KEY PRESS
8,2024-03-29 17.12.55.628,STANDARD
9,2024-03-29 17.12.57.157,STANDARD
10,2024-03-29 17.12.58.676,STANDARD
11,2024-03-29 17.13.00.201,STANDARD
12,2024-03-29 17.13.01.732,STANDARD
13,2024-03-29 17.13.03.256,STANDARD
14,2024-03-29 17.13.04.774,STANDARD
15,2024-03-29 17.13.06.290,STANDARD
16,2024-03-29 17.13.07.818,STANDARD
17,2024-03-29 17.13.09.344,STANDARD
18,2024-03-29 17.13.10.856,STANDARD
19,2024-03-29 17.13.12.380,STANDARD
20,2024-03-29 17.13.13.895,TARGET
21,2024-03-29 17.13.14.277,KEY PRESS
22,2024-03-29 17.13.15.411,STANDARD
23,2024-03-29 17.13.16.941,TARGET
24,2024-03-29 17.13.17.307,KEY PRESS
25,2024-03-29 17.13.18.468,STANDARD
26,2024-03-29 17.13.19.980,STANDARD
27,2024-03-29 17.13.21.508,STANDARD
28,2024-03-29 17.13.23.010,STANDARD
29,2024-03-29 17.13.24.536,TARGET
30,2024-03-29 17.13.24.920,KEY PRESS
31,2024-03-29 17.13.26.053,STANDARD
32,2024-03-29 17.13.27.580,STANDARD
33,2024-03-29 17.13.29.096,STANDARD
34,2024-03-29 17.13.30.621,TARGET
35,2024-03-29 17.13.31.254,KEY PRESS
36,2024-03-29 17.13.32.136,STANDARD
37,2024-03-29 17.13.33.649,TARGET
38,2024-03-29 17.13.34.098,KEY PRESS
39,2024-03-29 17.13.35.177,STANDARD
40,2024-03-29 17.13.36.705,STANDARD
41,2024-03-29 17.13.38.219,STANDARD
42,2024-03-29 17.13.39.734,TARGET
43,2024-03-29 17.13.40.117,KEY PRESS
44,2024-03-29 17.13.40.235,KEY PRESS
45,2024-03-29 17.13.41.248,STANDARD
46,2024-03-29 17.13.42.762,STANDARD
47,2024-03-29 17.13.44.293,STANDARD
48,2024-03-29 17.13.45.815,STANDARD
49,2024-03-29 17.13.47.329,STANDARD
50,2024-03-29 17.13.48.855,TARGET
51,2024-03-29 17.13.49.250,KEY PRESS
52,2024-03-29 17.13.50.383,STANDARD
53,2024-03-29 17.13.51.905,STANDARD
54,2024-03-29 17.13.53.425,STANDARD
55,2024-03-29 17.13.54.947,STANDARD
56,2024-03-29 17.13.56.470,STANDARD
57,2024-03-29 17.13.57.979,STANDARD
58,2024-03-29 17.13.59.501,STANDARD
59,2024-03-29 17.14.01.022,TARGET
60,2024-03-29 17.14.01.439,KEY PRESS
61,2024-03-29 17.14.02.533,STANDARD
62,2024-03-29 17.14.04.058,STANDARD
63,2024-03-29 17.14.05.567,STANDARD
64,2024-03-29 17.14.07.078,STANDARD
65,2024-03-29 17.14.08.606,TARGET
66,2024-03-29 17.14.09.001,KEY PRESS
67,2024-03-29 17.14.10.126,STANDARD
68,2024-03-29 17.14.11.647,TARGET
69,2024-03-29 17.14.11.997,KEY PRESS
70,2024-03-29 17.14.13.164,STANDARD
71,2024-03-29 17.14.14.687,STANDARD
72,2024-03-29 17.14.16.205,STANDARD
73,2024-03-29 17.14.17.727,STANDARD
74,2024-03-29 17.14.19.250,TARGET
75,2024-03-29 17.14.19.598,KEY PRESS
76,2024-03-29 17.14.20.773,STANDARD
77,2024-03-29 17.14.22.296,STANDARD
78,2024-03-29 17.14.23.813,TARGET
79,2024-03-29 17.14.24.224,KEY PRESS
80,2024-03-29 17.14.25.328,STANDARD
81,2024-03-29 17.14.26.840,STANDARD
82,2024-03-29 17.14.27.236,KEY PRESS
83,2024-03-29 17.14.28.359,STANDARD
84,2024-03-29 17.14.29.872,STANDARD
85,2024-03-29 17.14.31.397,STANDARD
86,2024-03-29 17.14.32.917,STANDARD
87,2024-03-29 17.14.34.440,STANDARD
88,2024-03-29 17.14.35.965,STANDARD
89,2024-03-29 17.14.37.486,STANDARD
90,2024-03-29 17.14.39.004,STANDARD
91,2024-03-29 17.14.40.532,STANDARD
92,2024-03-29 17.14.42.060,TARGET
93,2024-03-29 17.14.42.473,KEY PRESS
94,2024-03-29 17.14.43.582,STANDARD
95,2024-03-29 17.14.45.105,STANDARD
96,2024-03-29 17.14.46.629,TARGET
97,2024-03-29 17.14.47.059,KEY PRESS
98,2024-03-29 17.14.48.146,STANDARD
99,2024-03-29 17.14.49.672,TARGET
100,2024-03-29 17.14.50.052,KEY PRESS
101,2024-03-29 17.14.51.194,STANDARD
102,2024-03-29 17.14.52.707,STANDARD
103,2024-03-29 17.14.54.228,TARGET
104,2024-03-29 17.14.54.607,KEY PRESS
105,2024-03-29 17.14.55.754,STANDARD
106,2024-03-29 17.14.57.270,STANDARD
107,2024-03-29 17.14.58.783,STANDARD
108,2024-03-29 17.15.00.301,STANDARD
109,2024-03-29 17.15.01.827,STANDARD
110,2024-03-29 17.15.03.349,STANDARD
111,2024-03-29 17.15.04.867,TARGET
112,2024-03-29 17.15.05.262,KEY PRESS
113,2024-03-29 17.15.06.390,STANDARD
114,2024-03-29 17.15.07.913,STANDARD
115,2024-03-29 17.15.09.445,STANDARD
116,2024-03-29 17.15.10.971,STANDARD
117,2024-03-29 17.15.12.497,STANDARD
118,2024-03-29 17.15.14.024,STANDARD
119,2024-03-29 17.15.15.551,TARGET
120,2024-03-29 17.15.15.933,KEY PRESS
121,2024-03-29 17.15.17.055,STANDARD
122,2024-03-29 17.15.18.571,STANDARD
123,2024-03-29 17.15.20.096,END
