,datetimes,events
0,2024-03-22 16.00.00.799,START
1,2024-03-22 16.00.05.799,STANDARD
2,2024-03-22 16.00.06.817,STANDARD
3,2024-03-22 16.00.08.338,STANDARD
4,2024-03-22 16.00.09.853,TARGET
5,2024-03-22 16.00.10.321,KEY PRESS
6,2024-03-22 16.00.11.383,STANDARD
7,2024-03-22 16.00.12.901,STANDARD
8,2024-03-22 16.00.14.426,STANDARD
9,2024-03-22 16.00.15.955,STANDARD
10,2024-03-22 16.00.17.482,STANDARD
11,2024-03-22 16.00.18.998,TARGET
12,2024-03-22 16.00.19.477,KEY PRESS
13,2024-03-22 16.00.20.525,STANDARD
14,2024-03-22 16.00.22.055,STANDARD
15,2024-03-22 16.00.23.582,STANDARD
16,2024-03-22 16.00.25.109,TARGET
17,2024-03-22 16.00.25.523,KEY PRESS
18,2024-03-22 16.00.26.635,STANDARD
19,2024-03-22 16.00.28.156,STANDARD
20,2024-03-22 16.00.29.680,TARGET
21,2024-03-22 16.00.30.143,KEY PRESS
22,2024-03-22 16.00.31.201,STANDARD
23,2024-03-22 16.00.32.722,STANDARD
24,2024-03-22 16.00.34.245,STANDARD
25,2024-03-22 16.00.35.748,STANDARD
26,2024-03-22 16.00.37.264,STANDARD
27,2024-03-22 16.00.38.780,STANDARD
28,2024-03-22 16.00.40.297,STANDARD
29,2024-03-22 16.00.41.810,TARGET
30,2024-03-22 16.00.42.228,KEY PRESS
31,2024-03-22 16.00.43.326,STANDARD
32,2024-03-22 16.00.44.852,STANDARD
33,2024-03-22 16.00.46.370,STANDARD
34,2024-03-22 16.00.47.898,STANDARD
35,2024-03-22 16.00.49.413,TARGET
36,2024-03-22 16.00.49.813,KEY PRESS
37,2024-03-22 16.00.50.929,TARGET
38,2024-03-22 16.00.51.460,KEY PRESS
39,2024-03-22 16.00.52.446,STANDARD
40,2024-03-22 16.00.53.971,STANDARD
41,2024-03-22 16.00.55.475,STANDARD
42,2024-03-22 16.00.57.000,STANDARD
43,2024-03-22 16.00.58.507,STANDARD
44,2024-03-22 16.01.00.039,STANDARD
45,2024-03-22 16.01.01.553,TARGET
46,2024-03-22 16.01.01.935,KEY PRESS
47,2024-03-22 16.01.03.063,STANDARD
48,2024-03-22 16.01.04.566,STANDARD
49,2024-03-22 16.01.06.076,STANDARD
50,2024-03-22 16.01.07.596,STANDARD
51,2024-03-22 16.01.09.119,TARGET
52,2024-03-22 16.01.09.534,KEY PRESS
53,2024-03-22 16.01.10.634,STANDARD
54,2024-03-22 16.01.12.147,STANDARD
55,2024-03-22 16.01.13.667,STANDARD
56,2024-03-22 16.01.15.184,STANDARD
57,2024-03-22 16.01.16.695,STANDARD
58,2024-03-22 16.01.18.209,TARGET
59,2024-03-22 16.01.18.643,KEY PRESS
60,2024-03-22 16.01.19.720,STANDARD
61,2024-03-22 16.01.21.246,STANDARD
62,2024-03-22 16.01.22.770,STANDARD
63,2024-03-22 16.01.24.296,TARGET
64,2024-03-22 16.01.24.810,KEY PRESS
65,2024-03-22 16.01.25.822,STANDARD
66,2024-03-22 16.01.27.345,STANDARD
67,2024-03-22 16.01.28.865,TARGET
68,2024-03-22 16.01.29.279,KEY PRESS
69,2024-03-22 16.01.30.388,STANDARD
70,2024-03-22 16.01.31.918,STANDARD
71,2024-03-22 16.01.33.430,STANDARD
72,2024-03-22 16.01.34.959,STANDARD
73,2024-03-22 16.01.36.481,TARGET
74,2024-03-22 16.01.36.897,KEY PRESS
75,2024-03-22 16.01.38.009,STANDARD
76,2024-03-22 16.01.39.541,STANDARD
77,2024-03-22 16.01.41.049,STANDARD
78,2024-03-22 16.01.42.568,STANDARD
79,2024-03-22 16.01.44.098,STANDARD
80,2024-03-22 16.01.45.619,STANDARD
81,2024-03-22 16.01.47.134,STANDARD
82,2024-03-22 16.01.48.660,STANDARD
83,2024-03-22 16.01.50.184,TARGET
84,2024-03-22 16.01.50.584,KEY PRESS
85,2024-03-22 16.01.51.708,STANDARD
86,2024-03-22 16.01.53.232,STANDARD
87,2024-03-22 16.01.54.750,STANDARD
88,2024-03-22 16.01.56.277,STANDARD
89,2024-03-22 16.01.57.803,TARGET
90,2024-03-22 16.01.58.404,KEY PRESS
91,2024-03-22 16.01.59.306,STANDARD
92,2024-03-22 16.02.00.821,STANDARD
93,2024-03-22 16.02.02.349,STANDARD
94,2024-03-22 16.02.03.873,STANDARD
95,2024-03-22 16.02.05.399,TARGET
96,2024-03-22 16.02.05.880,KEY PRESS
97,2024-03-22 16.02.06.926,STANDARD
98,2024-03-22 16.02.08.452,STANDARD
99,2024-03-22 16.02.09.978,STANDARD
100,2024-03-22 16.02.11.505,STANDARD
101,2024-03-22 16.02.13.020,STANDARD
102,2024-03-22 16.02.14.544,STANDARD
103,2024-03-22 16.02.16.059,TARGET
104,2024-03-22 16.02.16.542,KEY PRESS
105,2024-03-22 16.02.17.573,STANDARD
106,2024-03-22 16.02.19.099,STANDARD
107,2024-03-22 16.02.20.626,TARGET
108,2024-03-22 16.02.21.076,KEY PRESS
109,2024-03-22 16.02.22.138,STANDARD
110,2024-03-22 16.02.23.663,STANDARD
111,2024-03-22 16.02.25.186,STANDARD
112,2024-03-22 16.02.26.715,STANDARD
113,2024-03-22 16.02.28.239,STANDARD
114,2024-03-22 16.02.29.768,STANDARD
115,2024-03-22 16.02.31.296,STANDARD
116,2024-03-22 16.02.32.824,STANDARD
117,2024-03-22 16.02.34.349,TARGET
118,2024-03-22 16.02.34.792,KEY PRESS
119,2024-03-22 16.02.35.872,TARGET
120,2024-03-22 16.02.36.338,KEY PRESS
121,2024-03-22 16.02.37.374,END
