datetime,sample,chnl-1-raw,chnl-2-raw,chnl-3-raw,action
2024-03-28 11.31.09.008,1709.0,-328.12969970703125,-563.1101684570312,-106.4619140625,
2024-03-28 11.31.09.013,1710.0,-301.983154296875,-395.7448425292969,-186.49954223632807,
2024-03-28 11.31.09.016,1711.0,-235.8601837158203,-187.46974182128903,-197.9805145263672,
2024-03-28 11.31.09.022,1712.0,-137.9882049560547,-8.872020721435547,-155.00421142578125,
2024-03-28 11.31.09.026,1713.0,-22.406494140625,83.06373596191406,-90.90003967285156,
2024-03-28 11.31.09.032,1714.0,95.10700225830078,67.18787384033203,-39.35377502441406,
2024-03-28 11.31.09.037,1715.0,199.3444366455078,-26.82757568359375,-20.454288482666016,
2024-03-28 11.31.09.040,1716.0,277.22467041015625,-134.8832244873047,-33.8139533996582,
2024-03-28 11.31.09.046,1717.0,317.2200622558594,-189.23907470703125,-61.8624153137207,
2024-03-28 11.31.09.051,1718.0,310.6803894042969,-148.638671875,-80.63999938964844,
2024-03-28 11.31.09.056,1719.0,254.5230255126953,-18.190284729003903,-71.49711608886719,
2024-03-28 11.31.09.061,1720.0,154.8883056640625,152.7815704345703,-31.95864486694336,
2024-03-28 11.31.09.064,1721.0,29.40433120727539,295.0830993652344,26.073360443115234,
2024-03-28 11.31.09.071,1722.0,-95.28597259521484,351.6587829589844,83.58416748046875,
2024-03-28 11.31.09.076,1723.0,-188.4513092041016,305.1397399902344,122.31826782226562,
2024-03-28 11.31.09.080,1724.0,-224.33392333984372,184.04080200195312,134.03968811035156,
2024-03-28 11.31.09.085,1725.0,-192.69525146484372,47.99702835083008,124.60037231445312,
2024-03-28 11.31.09.088,1726.0,-104.54971313476562,-42.27727127075195,107.78881072998048,
2024-03-28 11.31.09.095,1727.0,8.402164459228516,-54.33762741088867,97.7502899169922,
2024-03-28 11.31.09.100,1728.0,102.36669158935548,-2.2828140258789062,100.34053802490234,
2024-03-28 11.31.09.104,1729.0,134.9508819580078,61.74612808227539,109.08636474609376,
2024-03-28 11.31.09.110,1730.0,80.41633605957031,73.95283508300781,106.31430053710938,
2024-03-28 11.31.09.113,1731.0,-59.96416473388672,-11.239669799804688,71.56607818603516,
2024-03-28 11.31.09.118,1732.0,-255.85765075683597,-194.389404296875,-7.790885925292969,
2024-03-28 11.31.09.124,1733.0,-455.299560546875,-427.4248046875,-128.2085723876953,
2024-03-28 11.31.09.129,1734.0,-599.044677734375,-632.9468994140625,-268.55859375,
2024-03-28 11.31.09.134,1735.0,-638.9534301757812,-736.1103515625,-395.8325805664063,
2024-03-28 11.31.09.137,1736.0,-552.7400512695312,-694.7327880859375,-474.3020629882813,
2024-03-28 11.31.09.143,1737.0,-350.9438781738281,-519.3533935546875,-477.0432739257813,
2024-03-28 11.31.09.148,1738.0,-73.61308288574219,-262.5912170410156,-396.2007751464844,
2024-03-28 11.31.09.152,1739.0,221.36199951171875,0.02978515625,-246.2225341796875,
2024-03-28 11.31.09.158,1740.0,475.3279113769531,202.78268432617188,-58.1909065246582,
2024-03-28 11.31.09.162,1741.0,645.1887817382812,315.8026733398437,127.16158294677734,
