,datetimes,events
0,2024-03-22 16.03.05.359,START
1,2024-03-22 16.03.10.359,STANDARD
2,2024-03-22 16.03.11.374,STANDARD
3,2024-03-22 16.03.12.894,STANDARD
4,2024-03-22 16.03.14.411,STANDARD
5,2024-03-22 16.03.15.942,STANDARD
6,2024-03-22 16.03.17.452,STANDARD
7,2024-03-22 16.03.18.982,STANDARD
8,2024-03-22 16.03.20.510,TARGET
9,2024-03-22 16.03.20.911,KEY PRESS
10,2024-03-22 16.03.22.038,STANDARD
11,2024-03-22 16.03.23.567,TARGET
12,2024-03-22 16.03.24.017,KEY PRESS
13,2024-03-22 16.03.25.084,STANDARD
14,2024-03-22 16.03.26.609,TARGET
15,2024-03-22 16.03.26.992,KEY PRESS
16,2024-03-22 16.03.28.125,STANDARD
17,2024-03-22 16.03.29.650,TARGET
18,2024-03-22 16.03.29.965,KEY PRESS
19,2024-03-22 16.03.31.175,STANDARD
20,2024-03-22 16.03.32.690,STANDARD
21,2024-03-22 16.03.34.212,STANDARD
22,2024-03-22 16.03.35.740,STANDARD
23,2024-03-22 16.03.37.266,STANDARD
24,2024-03-22 16.03.38.781,STANDARD
25,2024-03-22 16.03.40.301,STANDARD
26,2024-03-22 16.03.41.831,STANDARD
27,2024-03-22 16.03.43.362,TARGET
28,2024-03-22 16.03.43.795,KEY PRESS
29,2024-03-22 16.03.44.873,STANDARD
30,2024-03-22 16.03.46.399,STANDARD
31,2024-03-22 16.03.47.924,TARGET
32,2024-03-22 16.03.48.308,KEY PRESS
33,2024-03-22 16.03.49.448,STANDARD
34,2024-03-22 16.03.50.973,STANDARD
35,2024-03-22 16.03.52.488,STANDARD
36,2024-03-22 16.03.54.001,STANDARD
37,2024-03-22 16.03.55.513,STANDARD
38,2024-03-22 16.03.57.027,STANDARD
39,2024-03-22 16.03.58.555,STANDARD
40,2024-03-22 16.04.00.074,STANDARD
41,2024-03-22 16.04.01.575,TARGET
42,2024-03-22 16.04.01.973,KEY PRESS
43,2024-03-22 16.04.03.100,STANDARD
44,2024-03-22 16.04.04.618,STANDARD
45,2024-03-22 16.04.06.132,STANDARD
46,2024-03-22 16.04.07.662,TARGET
47,2024-03-22 16.04.08.078,KEY PRESS
48,2024-03-22 16.04.09.185,STANDARD
49,2024-03-22 16.04.10.685,STANDARD
50,2024-03-22 16.04.12.206,STANDARD
51,2024-03-22 16.04.13.733,STANDARD
52,2024-03-22 16.04.15.253,STANDARD
53,2024-03-22 16.04.16.781,TARGET
54,2024-03-22 16.04.17.215,KEY PRESS
55,2024-03-22 16.04.18.297,STANDARD
56,2024-03-22 16.04.19.813,STANDARD
57,2024-03-22 16.04.21.326,STANDARD
58,2024-03-22 16.04.22.842,TARGET
59,2024-03-22 16.04.23.306,KEY PRESS
60,2024-03-22 16.04.24.369,STANDARD
61,2024-03-22 16.04.25.900,STANDARD
62,2024-03-22 16.04.27.415,STANDARD
63,2024-03-22 16.04.28.944,STANDARD
64,2024-03-22 16.04.30.455,TARGET
65,2024-03-22 16.04.30.887,KEY PRESS
66,2024-03-22 16.04.31.984,TARGET
67,2024-03-22 16.04.32.384,KEY PRESS
68,2024-03-22 16.04.33.513,STANDARD
69,2024-03-22 16.04.35.036,STANDARD
70,2024-03-22 16.04.36.537,STANDARD
71,2024-03-22 16.04.38.063,STANDARD
72,2024-03-22 16.04.39.593,STANDARD
73,2024-03-22 16.04.41.115,TARGET
74,2024-03-22 16.04.41.581,KEY PRESS
75,2024-03-22 16.04.42.644,STANDARD
76,2024-03-22 16.04.44.168,STANDARD
77,2024-03-22 16.04.45.693,STANDARD
78,2024-03-22 16.04.47.222,STANDARD
79,2024-03-22 16.04.48.751,TARGET
80,2024-03-22 16.04.49.151,KEY PRESS
81,2024-03-22 16.04.50.264,STANDARD
82,2024-03-22 16.04.51.773,STANDARD
83,2024-03-22 16.04.53.296,STANDARD
84,2024-03-22 16.04.54.827,STANDARD
85,2024-03-22 16.04.56.356,TARGET
86,2024-03-22 16.04.56.735,KEY PRESS
87,2024-03-22 16.04.57.877,STANDARD
88,2024-03-22 16.04.59.402,STANDARD
89,2024-03-22 16.05.00.927,STANDARD
90,2024-03-22 16.05.02.439,STANDARD
91,2024-03-22 16.05.03.963,STANDARD
92,2024-03-22 16.05.05.489,STANDARD
93,2024-03-22 16.05.07.018,STANDARD
94,2024-03-22 16.05.08.549,STANDARD
95,2024-03-22 16.05.10.061,TARGET
96,2024-03-22 16.05.10.491,KEY PRESS
97,2024-03-22 16.05.11.577,STANDARD
