,datetimes,events
0,2024-03-22 14.34.06.047,START
1,2024-03-22 14.34.11.046,STANDARD
2,2024-03-22 14.34.12.063,STANDARD
3,2024-03-22 14.34.13.567,STANDARD
4,2024-03-22 14.34.15.092,TARGET
5,2024-03-22 14.34.15.490,KEY PRESS
6,2024-03-22 14.34.16.621,STANDARD
7,2024-03-22 14.34.18.137,STANDARD
8,2024-03-22 14.34.19.665,STANDARD
9,2024-03-22 14.34.21.190,TARGET
10,2024-03-22 14.34.21.607,KEY PRESS
11,2024-03-22 14.34.22.691,STANDARD
12,2024-03-22 14.34.24.217,STANDARD
13,2024-03-22 14.34.25.746,STANDARD
14,2024-03-22 14.34.27.261,STANDARD
15,2024-03-22 14.34.28.787,STANDARD
16,2024-03-22 14.34.30.300,STANDARD
17,2024-03-22 14.34.31.812,STANDARD
18,2024-03-22 14.34.33.341,TARGET
19,2024-03-22 14.34.33.741,KEY PRESS
20,2024-03-22 14.34.34.855,TARGET
21,2024-03-22 14.34.35.189,KEY PRESS
22,2024-03-22 14.34.36.368,STANDARD
23,2024-03-22 14.34.37.879,STANDARD
24,2024-03-22 14.34.39.404,STANDARD
25,2024-03-22 14.34.40.932,STANDARD
26,2024-03-22 14.34.42.457,TARGET
27,2024-03-22 14.34.42.842,KEY PRESS
28,2024-03-22 14.34.43.959,STANDARD
29,2024-03-22 14.34.45.489,STANDARD
30,2024-03-22 14.34.47.002,STANDARD
31,2024-03-22 14.34.48.521,STANDARD
32,2024-03-22 14.34.50.046,TARGET
33,2024-03-22 14.34.50.447,KEY PRESS
34,2024-03-22 14.34.51.556,STANDARD
35,2024-03-22 14.34.53.082,STANDARD
36,2024-03-22 14.34.54.610,STANDARD
37,2024-03-22 14.34.56.139,STANDARD
38,2024-03-22 14.34.57.655,STANDARD
39,2024-03-22 14.34.59.180,STANDARD
40,2024-03-22 14.35.00.696,STANDARD
41,2024-03-22 14.35.02.196,STANDARD
42,2024-03-22 14.35.03.711,TARGET
43,2024-03-22 14.35.04.259,KEY PRESS
44,2024-03-22 14.35.05.227,STANDARD
45,2024-03-22 14.35.06.755,STANDARD
46,2024-03-22 14.35.08.284,STANDARD
47,2024-03-22 14.35.09.808,TARGET
48,2024-03-22 14.35.10.241,KEY PRESS
49,2024-03-22 14.35.11.339,TARGET
50,2024-03-22 14.35.11.739,KEY PRESS
51,2024-03-22 14.35.12.865,STANDARD
52,2024-03-22 14.35.14.381,STANDARD
53,2024-03-22 14.35.15.900,STANDARD
54,2024-03-22 14.35.17.418,STANDARD
55,2024-03-22 14.35.18.939,STANDARD
56,2024-03-22 14.35.20.464,STANDARD
57,2024-03-22 14.35.21.977,STANDARD
58,2024-03-22 14.35.23.488,TARGET
59,2024-03-22 14.35.23.868,KEY PRESS
60,2024-03-22 14.35.25.013,STANDARD
61,2024-03-22 14.35.26.542,STANDARD
62,2024-03-22 14.35.28.067,STANDARD
63,2024-03-22 14.35.29.594,STANDARD
64,2024-03-22 14.35.31.104,STANDARD
65,2024-03-22 14.35.32.626,STANDARD
66,2024-03-22 14.35.34.157,TARGET
67,2024-03-22 14.35.34.559,KEY PRESS
68,2024-03-22 14.35.35.687,STANDARD
69,2024-03-22 14.35.37.199,STANDARD
70,2024-03-22 14.35.38.724,STANDARD
71,2024-03-22 14.35.40.253,TARGET
72,2024-03-22 14.35.40.667,KEY PRESS
73,2024-03-22 14.35.41.780,STANDARD
74,2024-03-22 14.35.43.304,STANDARD
75,2024-03-22 14.35.44.806,STANDARD
76,2024-03-22 14.35.46.325,STANDARD
77,2024-03-22 14.35.47.855,STANDARD
78,2024-03-22 14.35.49.385,STANDARD
79,2024-03-22 14.35.50.910,STANDARD
80,2024-03-22 14.35.52.438,TARGET
81,2024-03-22 14.35.52.856,KEY PRESS
82,2024-03-22 14.35.53.952,STANDARD
83,2024-03-22 14.35.55.475,TARGET
84,2024-03-22 14.35.55.872,KEY PRESS
85,2024-03-22 14.35.56.999,STANDARD
86,2024-03-22 14.35.58.510,STANDARD
87,2024-03-22 14.36.00.037,STANDARD
88,2024-03-22 14.36.01.558,STANDARD
89,2024-03-22 14.36.03.071,STANDARD
90,2024-03-22 14.36.04.587,STANDARD
91,2024-03-22 14.36.06.117,TARGET
92,2024-03-22 14.36.06.516,KEY PRESS
93,2024-03-22 14.36.07.646,STANDARD
94,2024-03-22 14.36.09.161,STANDARD
95,2024-03-22 14.36.10.677,TARGET
96,2024-03-22 14.36.11.062,KEY PRESS
97,2024-03-22 14.36.12.196,STANDARD
98,2024-03-22 14.36.13.710,STANDARD
99,2024-03-22 14.36.15.237,STANDARD
100,2024-03-22 14.36.16.752,TARGET
