,datetimes,events
0,2024-02-27 12.00.16.375,START
1,2024-02-27 12.00.21.373,STANDARD
2,2024-02-27 12.00.22.382,STANDARD
3,2024-02-27 12.00.23.912,STANDARD
4,2024-02-27 12.00.25.425,TARGET
5,2024-02-27 12.00.26.010,KEY PRESS
6,2024-02-27 12.00.26.941,STANDARD
7,2024-02-27 12.00.28.471,STANDARD
8,2024-02-27 12.00.29.994,STANDARD
9,2024-02-27 12.00.31.523,TARGET
10,2024-02-27 12.00.32.090,KEY PRESS
11,2024-02-27 12.00.33.042,STANDARD
12,2024-02-27 12.00.34.568,STANDARD
13,2024-02-27 12.00.36.084,STANDARD
14,2024-02-27 12.00.37.603,STANDARD
15,2024-02-27 12.00.39.130,STANDARD
16,2024-02-27 12.00.40.655,STANDARD
17,2024-02-27 12.00.42.181,STANDARD
18,2024-02-27 12.00.43.709,TARGET
19,2024-02-27 12.00.44.291,KEY PRESS
20,2024-02-27 12.00.45.220,STANDARD
21,2024-02-27 12.00.46.747,STANDARD
22,2024-02-27 12.00.48.274,TARGET
23,2024-02-27 12.00.48.857,KEY PRESS
24,2024-02-27 12.00.49.802,STANDARD
25,2024-02-27 12.00.51.314,STANDARD
26,2024-02-27 12.00.52.836,STANDARD
27,2024-02-27 12.00.54.349,TARGET
28,2024-02-27 12.00.54.914,KEY PRESS
29,2024-02-27 12.00.55.874,STANDARD
30,2024-02-27 12.00.57.402,STANDARD
31,2024-02-27 12.00.58.916,STANDARD
32,2024-02-27 12.01.00.436,STANDARD
33,2024-02-27 12.01.01.952,STANDARD
34,2024-02-27 12.01.03.479,TARGET
35,2024-02-27 12.01.03.972,KEY PRESS
36,2024-02-27 12.01.04.992,STANDARD
37,2024-02-27 12.01.06.499,TARGET
38,2024-02-27 12.01.07.045,KEY PRESS
39,2024-02-27 12.01.08.022,STANDARD
40,2024-02-27 12.01.09.534,STANDARD
41,2024-02-27 12.01.11.049,STANDARD
42,2024-02-27 12.01.12.565,TARGET
43,2024-02-27 12.01.13.160,KEY PRESS
44,2024-02-27 12.01.14.083,STANDARD
45,2024-02-27 12.01.15.603,STANDARD
46,2024-02-27 12.01.17.114,STANDARD
47,2024-02-27 12.01.18.634,STANDARD
48,2024-02-27 12.01.20.152,STANDARD
49,2024-02-27 12.01.21.679,STANDARD
50,2024-02-27 12.01.23.182,TARGET
51,2024-02-27 12.01.23.696,KEY PRESS
52,2024-02-27 12.01.24.711,STANDARD
53,2024-02-27 12.01.26.225,STANDARD
54,2024-02-27 12.01.27.735,STANDARD
55,2024-02-27 12.01.29.261,STANDARD
56,2024-02-27 12.01.30.782,STANDARD
57,2024-02-27 12.01.32.297,STANDARD
58,2024-02-27 12.01.33.826,TARGET
