,datetimes,events
0,2024-03-22 14.27.58.184,START
1,2024-03-22 14.28.03.184,STANDARD
2,2024-03-22 14.28.04.201,STANDARD
3,2024-03-22 14.28.05.729,TARGET
4,2024-03-22 14.28.06.129,KEY PRESS
5,2024-03-22 14.28.07.243,TARGET
6,2024-03-22 14.28.07.709,KEY PRESS
7,2024-03-22 14.28.08.755,STANDARD
8,2024-03-22 14.28.10.280,STANDARD
9,2024-03-22 14.28.11.790,STANDARD
10,2024-03-22 14.28.13.312,STANDARD
11,2024-03-22 14.28.14.841,STANDARD
12,2024-03-22 14.28.16.365,STANDARD
13,2024-03-22 14.28.17.892,STANDARD
14,2024-03-22 14.28.19.422,STANDARD
15,2024-03-22 14.28.20.937,STANDARD
16,2024-03-22 14.28.22.463,TARGET
17,2024-03-22 14.28.22.862,KEY PRESS
18,2024-03-22 14.28.23.989,STANDARD
19,2024-03-22 14.28.25.517,STANDARD
20,2024-03-22 14.28.27.041,TARGET
21,2024-03-22 14.28.27.504,KEY PRESS
22,2024-03-22 14.28.28.569,STANDARD
23,2024-03-22 14.28.30.073,STANDARD
24,2024-03-22 14.28.31.584,STANDARD
25,2024-03-22 14.28.33.099,STANDARD
26,2024-03-22 14.28.34.629,STANDARD
27,2024-03-22 14.28.36.158,TARGET
28,2024-03-22 14.28.36.560,KEY PRESS
29,2024-03-22 14.28.37.659,STANDARD
30,2024-03-22 14.28.39.172,STANDARD
31,2024-03-22 14.28.40.689,STANDARD
32,2024-03-22 14.28.42.203,STANDARD
33,2024-03-22 14.28.43.734,STANDARD
34,2024-03-22 14.28.45.262,TARGET
35,2024-03-22 14.28.45.728,KEY PRESS
36,2024-03-22 14.28.46.791,STANDARD
37,2024-03-22 14.28.48.318,STANDARD
38,2024-03-22 14.28.49.844,STANDARD
39,2024-03-22 14.28.51.360,STANDARD
40,2024-03-22 14.28.52.891,TARGET
41,2024-03-22 14.28.53.358,KEY PRESS
42,2024-03-22 14.28.54.420,STANDARD
43,2024-03-22 14.28.55.936,STANDARD
44,2024-03-22 14.28.57.460,STANDARD
45,2024-03-22 14.28.58.975,STANDARD
46,2024-03-22 14.29.00.488,TARGET
47,2024-03-22 14.29.00.920,KEY PRESS
48,2024-03-22 14.29.02.016,STANDARD
49,2024-03-22 14.29.03.541,STANDARD
50,2024-03-22 14.29.05.048,STANDARD
51,2024-03-22 14.29.06.574,TARGET
52,2024-03-22 14.29.06.992,KEY PRESS
53,2024-03-22 14.29.08.084,TARGET
54,2024-03-22 14.29.08.533,KEY PRESS
55,2024-03-22 14.29.09.611,STANDARD
56,2024-03-22 14.29.11.139,STANDARD
57,2024-03-22 14.29.12.654,STANDARD
58,2024-03-22 14.29.14.180,STANDARD
59,2024-03-22 14.29.15.711,STANDARD
60,2024-03-22 14.29.17.238,STANDARD
61,2024-03-22 14.29.18.753,STANDARD
62,2024-03-22 14.29.20.281,TARGET
63,2024-03-22 14.29.20.649,KEY PRESS
64,2024-03-22 14.29.21.799,STANDARD
65,2024-03-22 14.29.23.330,STANDARD
66,2024-03-22 14.29.24.856,STANDARD
67,2024-03-22 14.29.26.386,STANDARD
68,2024-03-22 14.29.27.908,TARGET
69,2024-03-22 14.29.28.305,KEY PRESS
70,2024-03-22 14.29.29.426,STANDARD
71,2024-03-22 14.29.30.941,STANDARD
72,2024-03-22 14.29.32.471,STANDARD
73,2024-03-22 14.29.33.999,STANDARD
74,2024-03-22 14.29.35.511,TARGET
75,2024-03-22 14.29.35.876,KEY PRESS
76,2024-03-22 14.29.37.037,STANDARD
77,2024-03-22 14.29.38.564,STANDARD
78,2024-03-22 14.29.40.080,STANDARD
79,2024-03-22 14.29.41.594,STANDARD
80,2024-03-22 14.29.43.108,STANDARD
81,2024-03-22 14.29.44.634,TARGET
82,2024-03-22 14.29.45.086,KEY PRESS
83,2024-03-22 14.29.46.136,STANDARD
84,2024-03-22 14.29.47.648,STANDARD
85,2024-03-22 14.29.49.160,STANDARD
86,2024-03-22 14.29.50.664,STANDARD
87,2024-03-22 14.29.52.184,STANDARD
88,2024-03-22 14.29.53.709,TARGET
89,2024-03-22 14.29.54.209,KEY PRESS
90,2024-03-22 14.29.55.236,TARGET
91,2024-03-22 14.29.55.570,KEY PRESS
92,2024-03-22 14.29.56.749,STANDARD
93,2024-03-22 14.29.58.252,STANDARD
94,2024-03-22 14.29.59.778,STANDARD
95,2024-03-22 14.30.01.291,STANDARD
96,2024-03-22 14.30.02.802,STANDARD
97,2024-03-22 14.30.04.314,STANDARD
98,2024-03-22 14.30.05.828,STANDARD
99,2024-03-22 14.30.07.351,TARGET
100,2024-03-22 14.30.07.783,KEY PRESS
101,2024-03-22 14.30.08.879,STANDARD
102,2024-03-22 14.30.10.409,STANDARD
103,2024-03-22 14.30.11.939,STANDARD
104,2024-03-22 14.30.13.463,STANDARD
105,2024-03-22 14.30.14.978,STANDARD
106,2024-03-22 14.30.16.491,TARGET
107,2024-03-22 14.30.16.920,KEY PRESS
108,2024-03-22 14.30.18.015,STANDARD
109,2024-03-22 14.30.19.544,STANDARD
110,2024-03-22 14.30.21.054,STANDARD
111,2024-03-22 14.30.22.564,STANDARD
112,2024-03-22 14.30.24.088,STANDARD
113,2024-03-22 14.30.25.598,TARGET
114,2024-03-22 14.30.25.997,KEY PRESS
115,2024-03-22 14.30.27.127,TARGET
116,2024-03-22 14.30.27.492,KEY PRESS
117,2024-03-22 14.30.28.655,STANDARD
118,2024-03-22 14.30.30.160,STANDARD
119,2024-03-22 14.30.31.673,STANDARD
120,2024-03-22 14.30.33.202,STANDARD
121,2024-03-22 14.30.34.728,END
