,datetimes,events
0,2024-04-03 16.46.28.346,START
1,2024-04-03 16.46.33.346,STANDARD
2,2024-04-03 16.46.34.363,TARGET
3,2024-04-03 16.46.34.862,KEY PRESS
4,2024-04-03 16.46.35.888,TARGET
5,2024-04-03 16.46.36.307,KEY PRESS
6,2024-04-03 16.46.37.401,STANDARD
7,2024-04-03 16.46.38.919,STANDARD
8,2024-04-03 16.46.40.434,STANDARD
9,2024-04-03 16.46.41.950,STANDARD
10,2024-04-03 16.46.43.465,STANDARD
11,2024-04-03 16.46.44.978,STANDARD
12,2024-04-03 16.46.46.505,STANDARD
13,2024-04-03 16.46.48.029,STANDARD
14,2024-04-03 16.46.49.554,STANDARD
15,2024-04-03 16.46.51.070,TARGET
16,2024-04-03 16.46.51.619,KEY PRESS
17,2024-04-03 16.46.52.595,TARGET
18,2024-04-03 16.46.53.108,KEY PRESS
19,2024-04-03 16.46.54.116,STANDARD
20,2024-04-03 16.46.55.633,STANDARD
21,2024-04-03 16.46.57.135,STANDARD
22,2024-04-03 16.46.58.652,STANDARD
23,2024-04-03 16.47.00.171,STANDARD
24,2024-04-03 16.47.01.695,STANDARD
25,2024-04-03 16.47.03.217,STANDARD
26,2024-04-03 16.47.04.737,STANDARD
27,2024-04-03 16.47.06.263,STANDARD
28,2024-04-03 16.47.07.783,STANDARD
29,2024-04-03 16.47.09.292,STANDARD
30,2024-04-03 16.47.10.815,TARGET
31,2024-04-03 16.47.11.278,KEY PRESS
32,2024-04-03 16.47.12.340,STANDARD
33,2024-04-03 16.47.13.866,STANDARD
34,2024-04-03 16.47.15.372,STANDARD
35,2024-04-03 16.47.16.883,TARGET
36,2024-04-03 16.47.17.331,KEY PRESS
37,2024-04-03 16.47.18.408,STANDARD
38,2024-04-03 16.47.19.938,STANDARD
39,2024-04-03 16.47.21.465,STANDARD
40,2024-04-03 16.47.22.990,STANDARD
41,2024-04-03 16.47.24.517,STANDARD
42,2024-04-03 16.47.26.044,STANDARD
43,2024-04-03 16.47.27.560,STANDARD
44,2024-04-03 16.47.29.088,STANDARD
45,2024-04-03 16.47.30.611,TARGET
46,2024-04-03 16.47.31.094,KEY PRESS
47,2024-04-03 16.47.32.136,TARGET
48,2024-04-03 16.47.32.667,KEY PRESS
49,2024-04-03 16.47.33.663,STANDARD
50,2024-04-03 16.47.35.175,TARGET
51,2024-04-03 16.47.35.654,KEY PRESS
52,2024-04-03 16.47.36.695,STANDARD
53,2024-04-03 16.47.38.218,STANDARD
54,2024-04-03 16.47.39.738,STANDARD
55,2024-04-03 16.47.41.262,STANDARD
56,2024-04-03 16.47.42.785,STANDARD
57,2024-04-03 16.47.44.308,STANDARD
58,2024-04-03 16.47.45.833,STANDARD
59,2024-04-03 16.47.47.343,TARGET
60,2024-04-03 16.47.47.826,KEY PRESS
61,2024-04-03 16.47.48.858,STANDARD
62,2024-04-03 16.47.50.385,TARGET
63,2024-04-03 16.47.50.898,KEY PRESS
64,2024-04-03 16.47.51.910,STANDARD
65,2024-04-03 16.47.53.436,STANDARD
66,2024-04-03 16.47.54.950,TARGET
67,2024-04-03 16.47.55.480,KEY PRESS
68,2024-04-03 16.47.56.475,STANDARD
69,2024-04-03 16.47.58.004,STANDARD
70,2024-04-03 16.47.59.529,STANDARD
71,2024-04-03 16.48.01.059,STANDARD
72,2024-04-03 16.48.02.560,STANDARD
73,2024-04-03 16.48.04.087,STANDARD
74,2024-04-03 16.48.05.609,TARGET
75,2024-04-03 16.48.06.123,KEY PRESS
76,2024-04-03 16.48.07.124,STANDARD
77,2024-04-03 16.48.08.648,STANDARD
78,2024-04-03 16.48.10.161,STANDARD
79,2024-04-03 16.48.11.690,STANDARD
80,2024-04-03 16.48.13.211,STANDARD
81,2024-04-03 16.48.14.735,TARGET
82,2024-04-03 16.48.15.216,KEY PRESS
83,2024-04-03 16.48.16.256,STANDARD
84,2024-04-03 16.48.17.781,STANDARD
85,2024-04-03 16.48.19.296,STANDARD
86,2024-04-03 16.48.20.821,TARGET
87,2024-04-03 16.48.21.280,KEY PRESS
88,2024-04-03 16.48.22.340,STANDARD
89,2024-04-03 16.48.23.856,TARGET
90,2024-04-03 16.48.24.420,KEY PRESS
91,2024-04-03 16.48.25.384,STANDARD
92,2024-04-03 16.48.26.897,STANDARD
93,2024-04-03 16.48.28.424,STANDARD
94,2024-04-03 16.48.29.947,STANDARD
95,2024-04-03 16.48.31.471,STANDARD
96,2024-04-03 16.48.32.996,STANDARD
97,2024-04-03 16.48.34.523,STANDARD
98,2024-04-03 16.48.36.048,STANDARD
99,2024-04-03 16.48.37.576,STANDARD
100,2024-04-03 16.48.39.092,STANDARD
101,2024-04-03 16.48.40.619,TARGET
102,2024-04-03 16.48.41.131,KEY PRESS
103,2024-04-03 16.48.42.142,TARGET
104,2024-04-03 16.48.42.702,KEY PRESS
105,2024-04-03 16.48.43.666,STANDARD
106,2024-04-03 16.48.45.177,STANDARD
107,2024-04-03 16.48.46.689,STANDARD
108,2024-04-03 16.48.48.216,STANDARD
109,2024-04-03 16.48.49.742,STANDARD
110,2024-04-03 16.48.51.263,STANDARD
111,2024-04-03 16.48.52.785,STANDARD
112,2024-04-03 16.48.54.296,TARGET
113,2024-04-03 16.48.54.774,KEY PRESS
114,2024-04-03 16.48.55.816,STANDARD
115,2024-04-03 16.48.57.337,STANDARD
116,2024-04-03 16.48.58.852,STANDARD
117,2024-04-03 16.49.00.357,STANDARD
118,2024-04-03 16.49.01.879,TARGET
119,2024-04-03 16.49.02.343,KEY PRESS
120,2024-04-03 16.49.03.401,STANDARD
121,2024-04-03 16.49.04.919,END
