,datetimes,events
0,2024-04-01 16.38.04.316,START
1,2024-04-01 16.38.09.315,STANDARD
2,2024-04-01 16.38.10.331,STANDARD
3,2024-04-01 16.38.11.849,STANDARD
4,2024-04-01 16.38.13.366,TARGET
5,2024-04-01 16.38.13.800,KEY PRESS
6,2024-04-01 16.38.14.889,STANDARD
7,2024-04-01 16.38.16.415,STANDARD
8,2024-04-01 16.38.17.929,TARGET
9,2024-04-01 16.38.18.331,KEY PRESS
10,2024-04-01 16.38.19.444,STANDARD
11,2024-04-01 16.38.20.973,STANDARD
12,2024-04-01 16.38.22.475,STANDARD
13,2024-04-01 16.38.23.999,TARGET
14,2024-04-01 16.38.24.381,KEY PRESS
15,2024-04-01 16.38.25.523,TARGET
16,2024-04-01 16.38.26.131,KEY PRESS
17,2024-04-01 16.38.27.045,STANDARD
18,2024-04-01 16.38.28.568,STANDARD
19,2024-04-01 16.38.30.095,STANDARD
20,2024-04-01 16.38.31.623,STANDARD
21,2024-04-01 16.38.33.148,STANDARD
22,2024-04-01 16.38.34.665,STANDARD
23,2024-04-01 16.38.36.191,STANDARD
24,2024-04-01 16.38.37.706,STANDARD
25,2024-04-01 16.38.39.228,STANDARD
26,2024-04-01 16.38.40.739,STANDARD
27,2024-04-01 16.38.42.254,STANDARD
28,2024-04-01 16.38.43.780,STANDARD
29,2024-04-01 16.38.45.307,TARGET
30,2024-04-01 16.38.45.706,KEY PRESS
31,2024-04-01 16.38.46.813,STANDARD
32,2024-04-01 16.38.48.336,STANDARD
33,2024-04-01 16.38.49.860,STANDARD
34,2024-04-01 16.38.51.384,STANDARD
35,2024-04-01 16.38.52.909,TARGET
36,2024-04-01 16.38.53.391,KEY PRESS
37,2024-04-01 16.38.54.439,STANDARD
38,2024-04-01 16.38.55.962,TARGET
39,2024-04-01 16.38.56.391,KEY PRESS
40,2024-04-01 16.38.57.487,STANDARD
41,2024-04-01 16.38.58.996,STANDARD
42,2024-04-01 16.39.00.523,STANDARD
43,2024-04-01 16.39.02.048,TARGET
44,2024-04-01 16.39.02.479,KEY PRESS
45,2024-04-01 16.39.03.573,STANDARD
46,2024-04-01 16.39.05.097,STANDARD
47,2024-04-01 16.39.06.624,STANDARD
48,2024-04-01 16.39.08.140,STANDARD
49,2024-04-01 16.39.09.639,STANDARD
50,2024-04-01 16.39.11.153,STANDARD
51,2024-04-01 16.39.12.682,STANDARD
52,2024-04-01 16.39.14.197,STANDARD
53,2024-04-01 16.39.15.723,STANDARD
54,2024-04-01 16.39.17.237,STANDARD
55,2024-04-01 16.39.18.754,STANDARD
56,2024-04-01 16.39.20.277,TARGET
57,2024-04-01 16.39.20.693,KEY PRESS
58,2024-04-01 16.39.21.799,TARGET
59,2024-04-01 16.39.22.475,KEY PRESS
60,2024-04-01 16.39.23.317,STANDARD
61,2024-04-01 16.39.24.842,STANDARD
62,2024-04-01 16.39.26.364,STANDARD
63,2024-04-01 16.39.27.883,STANDARD
64,2024-04-01 16.39.29.405,TARGET
65,2024-04-01 16.39.29.833,KEY PRESS
66,2024-04-01 16.39.30.927,TARGET
67,2024-04-01 16.39.31.345,KEY PRESS
68,2024-04-01 16.39.32.440,STANDARD
69,2024-04-01 16.39.33.955,STANDARD
70,2024-04-01 16.39.35.460,STANDARD
71,2024-04-01 16.39.36.983,STANDARD
72,2024-04-01 16.39.38.511,STANDARD
73,2024-04-01 16.39.40.037,STANDARD
74,2024-04-01 16.39.41.567,STANDARD
75,2024-04-01 16.39.43.090,STANDARD
76,2024-04-01 16.39.44.605,STANDARD
77,2024-04-01 16.39.46.119,TARGET
78,2024-04-01 16.39.46.534,KEY PRESS
79,2024-04-01 16.39.47.648,STANDARD
80,2024-04-01 16.39.49.172,STANDARD
81,2024-04-01 16.39.50.685,STANDARD
