,datetimes,events
0,2024-02-23 10.39.48.962,START
1,2024-02-23 10.39.53.962,STANDARD
2,2024-02-23 10.39.54.971,STANDARD
3,2024-02-23 10.39.55.435,KEY PRESS
4,2024-02-23 10.39.56.485,STANDARD
5,2024-02-23 10.39.58.007,STANDARD
6,2024-02-23 10.39.59.522,STANDARD
7,2024-02-23 10.40.01.036,STANDARD
8,2024-02-23 10.40.02.550,TARGET
9,2024-02-23 10.40.02.976,KEY PRESS
10,2024-02-23 10.40.04.063,STANDARD
11,2024-02-23 10.40.05.575,TARGET
12,2024-02-23 10.40.06.019,KEY PRESS
13,2024-02-23 10.40.07.084,STANDARD
14,2024-02-23 10.40.08.599,STANDARD
15,2024-02-23 10.40.10.113,STANDARD
16,2024-02-23 10.40.11.629,TARGET
17,2024-02-23 10.40.12.173,KEY PRESS
18,2024-02-23 10.40.13.144,STANDARD
19,2024-02-23 10.40.14.665,STANDARD
20,2024-02-23 10.40.16.181,STANDARD
21,2024-02-23 10.40.17.698,STANDARD
22,2024-02-23 10.40.19.211,STANDARD
23,2024-02-23 10.40.20.733,TARGET
24,2024-02-23 10.40.21.162,KEY PRESS
25,2024-02-23 10.40.22.250,STANDARD
26,2024-02-23 10.40.23.763,STANDARD
27,2024-02-23 10.40.25.283,STANDARD
28,2024-02-23 10.40.26.800,STANDARD
29,2024-02-23 10.40.28.317,TARGET
30,2024-02-23 10.40.28.796,KEY PRESS
31,2024-02-23 10.40.29.838,STANDARD
32,2024-02-23 10.40.31.346,STANDARD
33,2024-02-23 10.40.32.859,TARGET
34,2024-02-23 10.40.33.320,KEY PRESS
35,2024-02-23 10.40.34.377,STANDARD
36,2024-02-23 10.40.35.904,STANDARD
37,2024-02-23 10.40.37.415,STANDARD
38,2024-02-23 10.40.38.927,STANDARD
39,2024-02-23 10.40.40.444,STANDARD
40,2024-02-23 10.40.41.965,STANDARD
41,2024-02-23 10.40.43.475,STANDARD
42,2024-02-23 10.40.44.991,STANDARD
43,2024-02-23 10.40.46.511,STANDARD
44,2024-02-23 10.40.48.023,TARGET
