,datetimes,events
0,2024-04-05 15.29.24.533,START
1,2024-04-05 15.29.29.534,STANDARD
2,2024-04-05 15.29.30.548,STANDARD
3,2024-04-05 15.29.32.060,STANDARD
4,2024-04-05 15.29.33.574,STANDARD
5,2024-04-05 15.29.35.084,STANDARD
6,2024-04-05 15.29.36.609,TARGET
7,2024-04-05 15.29.37.089,KEY PRESS
8,2024-04-05 15.29.38.134,STANDARD
9,2024-04-05 15.29.39.657,STANDARD
10,2024-04-05 15.29.41.184,STANDARD
11,2024-04-05 15.29.42.699,TARGET
12,2024-04-05 15.29.43.149,KEY PRESS
13,2024-04-05 15.29.44.229,STANDARD
14,2024-04-05 15.29.45.752,STANDARD
15,2024-04-05 15.29.47.276,STANDARD
16,2024-04-05 15.29.48.789,STANDARD
17,2024-04-05 15.29.50.316,TARGET
18,2024-04-05 15.29.50.748,KEY PRESS
19,2024-04-05 15.29.51.844,STANDARD
20,2024-04-05 15.29.53.368,TARGET
21,2024-04-05 15.29.53.811,KEY PRESS
22,2024-04-05 15.29.54.889,STANDARD
23,2024-04-05 15.29.56.400,STANDARD
24,2024-04-05 15.29.57.928,STANDARD
25,2024-04-05 15.29.59.442,STANDARD
26,2024-04-05 15.30.00.953,STANDARD
27,2024-04-05 15.30.02.456,TARGET
28,2024-04-05 15.30.02.904,KEY PRESS
29,2024-04-05 15.30.03.986,STANDARD
30,2024-04-05 15.30.05.497,TARGET
31,2024-04-05 15.30.05.963,KEY PRESS
32,2024-04-05 15.30.07.010,STANDARD
33,2024-04-05 15.30.08.534,STANDARD
34,2024-04-05 15.30.10.062,STANDARD
35,2024-04-05 15.30.11.571,STANDARD
36,2024-04-05 15.30.13.100,STANDARD
37,2024-04-05 15.30.14.627,STANDARD
38,2024-04-05 15.30.16.155,STANDARD
39,2024-04-05 15.30.17.670,STANDARD
40,2024-04-05 15.30.19.199,STANDARD
41,2024-04-05 15.30.20.727,STANDARD
42,2024-04-05 15.30.22.242,TARGET
43,2024-04-05 15.30.22.674,KEY PRESS
44,2024-04-05 15.30.23.770,STANDARD
45,2024-04-05 15.30.25.280,TARGET
46,2024-04-05 15.30.25.812,KEY PRESS
47,2024-04-05 15.30.26.804,STANDARD
48,2024-04-05 15.30.28.331,STANDARD
49,2024-04-05 15.30.29.838,STANDARD
50,2024-04-05 15.30.31.361,STANDARD
51,2024-04-05 15.30.32.889,STANDARD
52,2024-04-05 15.30.34.402,TARGET
53,2024-04-05 15.30.34.818,KEY PRESS
54,2024-04-05 15.30.35.931,STANDARD
