,datetimes,events
0,2024-02-27 12.05.37.464,START
1,2024-02-27 12.05.42.463,TARGET
2,2024-02-27 12.05.43.486,TARGET
3,2024-02-27 12.05.44.002,KEY PRESS
4,2024-02-27 12.05.45.010,STANDARD
5,2024-02-27 12.05.46.537,STANDARD
6,2024-02-27 12.05.48.050,STANDARD
7,2024-02-27 12.05.49.579,STANDARD
8,2024-02-27 12.05.51.106,STANDARD
9,2024-02-27 12.05.52.631,STANDARD
10,2024-02-27 12.05.54.155,STANDARD
11,2024-02-27 12.05.55.680,STANDARD
12,2024-02-27 12.05.57.198,STANDARD
13,2024-02-27 12.05.58.726,STANDARD
14,2024-02-27 12.06.00.246,STANDARD
15,2024-02-27 12.06.01.776,TARGET
16,2024-02-27 12.06.02.243,KEY PRESS
17,2024-02-27 12.06.03.288,STANDARD
18,2024-02-27 12.06.04.810,STANDARD
19,2024-02-27 12.06.06.320,STANDARD
20,2024-02-27 12.06.07.844,STANDARD
21,2024-02-27 12.06.09.375,STANDARD
22,2024-02-27 12.06.10.901,TARGET
23,2024-02-27 12.06.11.384,KEY PRESS
24,2024-02-27 12.06.12.410,STANDARD
25,2024-02-27 12.06.13.933,STANDARD
26,2024-02-27 12.06.15.460,TARGET
27,2024-02-27 12.06.15.941,KEY PRESS
28,2024-02-27 12.06.16.986,STANDARD
29,2024-02-27 12.06.18.512,STANDARD
30,2024-02-27 12.06.20.035,STANDARD
31,2024-02-27 12.06.21.549,STANDARD
32,2024-02-27 12.06.23.076,STANDARD
33,2024-02-27 12.06.24.602,TARGET
34,2024-02-27 12.06.25.034,KEY PRESS
35,2024-02-27 12.06.26.128,STANDARD
36,2024-02-27 12.06.27.656,STANDARD
37,2024-02-27 12.06.29.182,TARGET
38,2024-02-27 12.06.29.651,KEY PRESS
39,2024-02-27 12.06.30.685,TARGET
40,2024-02-27 12.06.31.216,KEY PRESS
41,2024-02-27 12.06.32.215,STANDARD
42,2024-02-27 12.06.33.731,STANDARD
43,2024-02-27 12.06.35.259,STANDARD
44,2024-02-27 12.06.36.775,STANDARD
45,2024-02-27 12.06.38.298,STANDARD
