,datetimes,events
0,2024-02-23 10.43.05.747,START
1,2024-02-23 10.43.10.747,STANDARD
2,2024-02-23 10.43.11.765,STANDARD
3,2024-02-23 10.43.13.283,STANDARD
4,2024-02-23 10.43.14.796,STANDARD
5,2024-02-23 10.43.16.305,STANDARD
6,2024-02-23 10.43.17.818,TARGET
7,2024-02-23 10.43.18.235,KEY PRESS
8,2024-02-23 10.43.19.349,STANDARD
9,2024-02-23 10.43.20.876,TARGET
10,2024-02-23 10.43.21.375,KEY PRESS
11,2024-02-23 10.43.22.391,STANDARD
12,2024-02-23 10.43.23.895,STANDARD
13,2024-02-23 10.43.25.416,STANDARD
14,2024-02-23 10.43.26.941,STANDARD
15,2024-02-23 10.43.28.464,STANDARD
16,2024-02-23 10.43.29.978,STANDARD
17,2024-02-23 10.43.31.502,TARGET
18,2024-02-23 10.43.32.031,KEY PRESS
19,2024-02-23 10.43.33.028,STANDARD
20,2024-02-23 10.43.34.556,STANDARD
21,2024-02-23 10.43.36.084,STANDARD
22,2024-02-23 10.43.37.596,TARGET
23,2024-02-23 10.43.38.044,KEY PRESS
24,2024-02-23 10.43.39.107,STANDARD
25,2024-02-23 10.43.40.634,STANDARD
26,2024-02-23 10.43.42.158,STANDARD
27,2024-02-23 10.43.43.677,STANDARD
28,2024-02-23 10.43.45.198,STANDARD
29,2024-02-23 10.43.46.722,STANDARD
30,2024-02-23 10.43.48.243,STANDARD
31,2024-02-23 10.43.49.767,STANDARD
32,2024-02-23 10.43.51.284,STANDARD
33,2024-02-23 10.43.52.807,TARGET
34,2024-02-23 10.43.53.222,KEY PRESS
35,2024-02-23 10.43.54.321,TARGET
36,2024-02-23 10.43.54.815,KEY PRESS
37,2024-02-23 10.43.55.848,STANDARD
38,2024-02-23 10.43.57.375,STANDARD
39,2024-02-23 10.43.58.901,STANDARD
40,2024-02-23 10.44.00.429,STANDARD
41,2024-02-23 10.44.01.952,STANDARD
42,2024-02-23 10.44.03.471,STANDARD
43,2024-02-23 10.44.04.983,STANDARD
44,2024-02-23 10.44.06.510,STANDARD
45,2024-02-23 10.44.08.033,TARGET
46,2024-02-23 10.44.08.514,KEY PRESS
47,2024-02-23 10.44.09.558,TARGET
48,2024-02-23 10.44.10.091,KEY PRESS
49,2024-02-23 10.44.11.086,STANDARD
50,2024-02-23 10.44.12.597,STANDARD
51,2024-02-23 10.44.14.122,STANDARD
52,2024-02-23 10.44.15.647,TARGET
53,2024-02-23 10.44.16.074,KEY PRESS
54,2024-02-23 10.44.17.167,STANDARD
55,2024-02-23 10.44.18.672,STANDARD
56,2024-02-23 10.44.20.201,STANDARD
57,2024-02-23 10.44.21.725,TARGET
58,2024-02-23 10.44.22.241,KEY PRESS
59,2024-02-23 10.44.23.252,STANDARD
60,2024-02-23 10.44.24.783,STANDARD
61,2024-02-23 10.44.26.315,TARGET
62,2024-02-23 10.44.26.778,KEY PRESS
63,2024-02-23 10.44.27.835,STANDARD
64,2024-02-23 10.44.29.360,STANDARD
65,2024-02-23 10.44.30.892,STANDARD
66,2024-02-23 10.44.32.419,STANDARD
67,2024-02-23 10.44.33.945,STANDARD
68,2024-02-23 10.44.35.475,STANDARD
69,2024-02-23 10.44.37.005,TARGET
70,2024-02-23 10.44.37.585,KEY PRESS
71,2024-02-23 10.44.38.529,STANDARD
72,2024-02-23 10.44.40.058,STANDARD
73,2024-02-23 10.44.41.584,TARGET
74,2024-02-23 10.44.42.265,KEY PRESS
75,2024-02-23 10.44.43.113,STANDARD
76,2024-02-23 10.44.44.625,STANDARD
