,datetimes,events
0,2024-04-05 16.02.08.500,START
1,2024-04-05 16.02.13.500,STANDARD
2,2024-04-05 16.02.14.522,STANDARD
3,2024-04-05 16.02.16.050,STANDARD
4,2024-04-05 16.02.17.573,STANDARD
5,2024-04-05 16.02.19.094,TARGET
6,2024-04-05 16.02.19.530,KEY PRESS
7,2024-04-05 16.02.20.608,STANDARD
8,2024-04-05 16.02.22.131,STANDARD
9,2024-04-05 16.02.23.642,TARGET
10,2024-04-05 16.02.24.120,KEY PRESS
11,2024-04-05 16.02.25.161,STANDARD
12,2024-04-05 16.02.26.681,STANDARD
13,2024-04-05 16.02.28.195,STANDARD
14,2024-04-05 16.02.29.722,STANDARD
15,2024-04-05 16.02.31.246,STANDARD
16,2024-04-05 16.02.32.758,TARGET
17,2024-04-05 16.02.33.158,KEY PRESS
18,2024-04-05 16.02.34.262,STANDARD
19,2024-04-05 16.02.35.788,TARGET
20,2024-04-05 16.02.36.202,KEY PRESS
21,2024-04-05 16.02.37.317,STANDARD
22,2024-04-05 16.02.38.831,STANDARD
23,2024-04-05 16.02.40.346,STANDARD
24,2024-04-05 16.02.41.861,STANDARD
25,2024-04-05 16.02.43.374,TARGET
26,2024-04-05 16.02.43.826,KEY PRESS
27,2024-04-05 16.02.44.883,STANDARD
28,2024-04-05 16.02.46.398,STANDARD
29,2024-04-05 16.02.47.913,STANDARD
30,2024-04-05 16.02.49.419,STANDARD
31,2024-04-05 16.02.50.945,STANDARD
32,2024-04-05 16.02.52.472,STANDARD
33,2024-04-05 16.02.53.998,TARGET
34,2024-04-05 16.02.54.481,KEY PRESS
35,2024-04-05 16.02.55.530,STANDARD
36,2024-04-05 16.02.57.044,STANDARD
37,2024-04-05 16.02.58.569,STANDARD
38,2024-04-05 16.03.00.093,STANDARD
39,2024-04-05 16.03.01.609,STANDARD
40,2024-04-05 16.03.03.131,STANDARD
41,2024-04-05 16.03.04.648,TARGET
42,2024-04-05 16.03.05.098,KEY PRESS
