,datetimes,events
0,2024-02-23 11.26.44.522,START
1,2024-02-23 11.26.49.520,8.57 Hz START
2,2024-02-23 11.26.57.555,8.57 Hz END
3,2024-02-23 11.27.12.557,7.50 Hz START
4,2024-02-23 11.27.20.619,7.50 Hz END
5,2024-02-23 11.27.35.620,12.00 Hz START
6,2024-02-23 11.27.43.652,12.00 Hz END
7,2024-02-23 11.27.58.653,10.00 Hz START
8,2024-02-23 11.28.06.697,10.00 Hz END
9,2024-02-23 11.28.21.699,END
