,datetimes,events
0,2024-04-03 14.13.08.477,START
1,2024-04-03 14.13.13.477,8.57 Hz START
2,2024-04-03 14.13.21.517,8.57 Hz END
3,2024-04-03 14.13.36.518,12.00 Hz START
4,2024-04-03 14.13.44.546,12.00 Hz END
5,2024-04-03 14.13.59.546,10.00 Hz START
6,2024-04-03 14.14.07.548,10.00 Hz END
7,2024-04-03 14.14.22.548,7.50 Hz START
8,2024-04-03 14.14.30.608,7.50 Hz END
9,2024-04-03 14.14.45.608,END
