,datetimes,events
0,2024-02-27 14.07.25.943,START
1,2024-02-27 14.07.30.942,8.57 Hz START
2,2024-02-27 14.07.38.974,8.57 Hz END
3,2024-02-27 14.07.53.975,12.00 Hz START
4,2024-02-27 14.08.02.010,12.00 Hz END
5,2024-02-27 14.08.17.012,7.50 Hz START
6,2024-02-27 14.08.25.075,7.50 Hz END
7,2024-02-27 14.08.40.076,10.00 Hz START
8,2024-02-27 14.08.48.123,10.00 Hz END
9,2024-02-27 14.09.03.124,END
